[17:10:58.663] [INFO   ] thread main starting.
[17:10:58.670] [SEVERE ] cannot read configuration file config.properties trying from resources.
[17:10:58.672] [SEVERE ] configuration file was loaded from resources directory.
[17:10:59.147] [INFO   ] thread dealer starting.
[17:10:59.148] [INFO   ] thread dealer starting.
[17:10:59.150] [INFO   ] thread Thread-0 starting.
[17:10:59.150] [INFO   ] thread Thread-1 starting.
[17:10:59.151] [SEVERE ] updating countdown to 20000
[17:10:59.268] [SEVERE ] placing card 51 in slot 0
[17:10:59.376] [SEVERE ] placing card 76 in slot 1
[17:10:59.487] [SEVERE ] placing card 44 in slot 2
[17:10:59.598] [SEVERE ] placing card 3 in slot 3
[17:10:59.709] [SEVERE ] placing card 77 in slot 4
[17:10:59.820] [SEVERE ] placing card 53 in slot 5
[17:10:59.927] [SEVERE ] placing card 23 in slot 6
[17:11:00.037] [SEVERE ] placing card 68 in slot 7
[17:11:00.147] [SEVERE ] placing card 28 in slot 8
[17:11:00.259] [SEVERE ] placing card 70 in slot 9
[17:11:00.371] [SEVERE ] placing card 2 in slot 10
[17:11:00.482] [SEVERE ] placing card 59 in slot 11
[17:11:00.482] [SEVERE ] updating countdown to 20000
[17:11:00.592] [SEVERE ] updating countdown to 19940
[17:11:00.593] [SEVERE ] updating countdown to 19939
[17:11:00.701] [SEVERE ] updating countdown to 19831
[17:11:00.701] [SEVERE ] updating countdown to 19831
[17:11:00.811] [SEVERE ] updating countdown to 19721
[17:11:00.812] [SEVERE ] updating countdown to 19720
[17:11:00.923] [SEVERE ] updating countdown to 19609
[17:11:00.923] [SEVERE ] updating countdown to 19609
[17:11:01.031] [SEVERE ] updating countdown to 19501
[17:11:01.032] [SEVERE ] updating countdown to 19500
[17:11:01.140] [SEVERE ] updating countdown to 19392
[17:11:01.141] [SEVERE ] updating countdown to 19391
[17:11:01.250] [SEVERE ] updating countdown to 19282
[17:11:01.251] [SEVERE ] updating countdown to 19281
[17:11:01.360] [SEVERE ] updating countdown to 19172
[17:11:01.360] [SEVERE ] updating countdown to 19172
[17:11:01.470] [SEVERE ] updating countdown to 19062
[17:11:01.471] [SEVERE ] updating countdown to 19061
[17:11:01.578] [SEVERE ] updating countdown to 18954
[17:11:01.578] [SEVERE ] updating countdown to 18954
[17:11:01.689] [SEVERE ] updating countdown to 18843
[17:11:01.690] [SEVERE ] updating countdown to 18842
[17:11:01.798] [SEVERE ] updating countdown to 18734
[17:11:01.799] [SEVERE ] updating countdown to 18733
[17:11:01.907] [SEVERE ] updating countdown to 18625
[17:11:01.907] [SEVERE ] updating countdown to 18625
[17:11:02.020] [SEVERE ] updating countdown to 18512
[17:11:02.020] [SEVERE ] updating countdown to 18512
[17:11:02.130] [SEVERE ] updating countdown to 18402
[17:11:02.131] [SEVERE ] updating countdown to 18401
[17:11:02.240] [SEVERE ] updating countdown to 18292
[17:11:02.240] [SEVERE ] updating countdown to 18292
[17:11:02.352] [SEVERE ] updating countdown to 18180
[17:11:02.353] [SEVERE ] updating countdown to 18179
[17:11:02.461] [SEVERE ] updating countdown to 18071
[17:11:02.461] [SEVERE ] updating countdown to 18071
[17:11:02.573] [SEVERE ] updating countdown to 17959
[17:11:02.573] [SEVERE ] updating countdown to 17959
[17:11:02.685] [SEVERE ] updating countdown to 17847
[17:11:02.685] [SEVERE ] updating countdown to 17847
[17:11:02.795] [SEVERE ] updating countdown to 17737
[17:11:02.795] [SEVERE ] updating countdown to 17737
[17:11:02.906] [SEVERE ] updating countdown to 17626
[17:11:02.906] [SEVERE ] updating countdown to 17626
[17:11:03.016] [SEVERE ] updating countdown to 17516
[17:11:03.017] [SEVERE ] updating countdown to 17515
[17:11:03.125] [SEVERE ] updating countdown to 17407
[17:11:03.125] [SEVERE ] updating countdown to 17407
[17:11:03.237] [SEVERE ] updating countdown to 17295
[17:11:03.237] [SEVERE ] updating countdown to 17295
[17:11:03.348] [SEVERE ] updating countdown to 17184
[17:11:03.348] [SEVERE ] updating countdown to 17184
[17:11:03.459] [SEVERE ] updating countdown to 17073
[17:11:03.459] [SEVERE ] updating countdown to 17073
[17:11:03.569] [SEVERE ] updating countdown to 16963
[17:11:03.570] [SEVERE ] updating countdown to 16962
[17:11:03.678] [SEVERE ] updating countdown to 16854
[17:11:03.678] [SEVERE ] updating countdown to 16854
[17:11:03.785] [SEVERE ] updating countdown to 16747
[17:11:03.785] [SEVERE ] updating countdown to 16747
[17:11:03.897] [SEVERE ] updating countdown to 16635
