[16:20:09.287] [INFO   ] thread main starting.
[16:20:09.299] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:20:16.787] [SEVERE ] updating countdown to 14660
[16:20:16.787] [SEVERE ] updating countdown to 14660
[16:20:16.898] [SEVERE ] updating countdown to 14549
[16:20:16.898] [SEVERE ] updating countdown to 14549
[16:20:17.007] [SEVERE ] updating countdown to 14440
[16:20:17.007] [SEVERE ] updating countdown to 14440
[16:20:17.117] [SEVERE ] updating countdown to 14330
[16:20:17.117] [SEVERE ] updating countdown to 14330
[16:20:17.227] [SEVERE ] updating countdown to 14220
[16:20:17.227] [SEVERE ] updating countdown to 14220
[16:20:17.336] [SEVERE ] updating countdown to 14111
[16:20:17.336] [SEVERE ] updating countdown to 14111
[16:20:17.447] [SEVERE ] updating countdown to 14000
[16:20:17.447] [SEVERE ] updating countdown to 14000
[16:20:17.556] [SEVERE ] updating countdown to 13891
[16:20:17.556] [SEVERE ] updating countdown to 13891
[16:20:17.666] [SEVERE ] updating countdown to 13781
[16:20:17.666] [SEVERE ] updating countdown to 13781
[16:20:17.775] [SEVERE ] updating countdown to 13672
[16:20:17.776] [SEVERE ] updating countdown to 13671
[16:20:17.885] [SEVERE ] updating countdown to 13562
[16:20:17.885] [SEVERE ] updating countdown to 13562
[16:20:17.996] [SEVERE ] updating countdown to 13451
[16:20:17.996] [SEVERE ] updating countdown to 13451
[16:20:18.106] [SEVERE ] updating countdown to 13341
[16:20:18.106] [SEVERE ] updating countdown to 13341
[16:20:18.216] [SEVERE ] updating countdown to 13231
[16:20:18.216] [SEVERE ] updating countdown to 13231
[16:20:18.327] [SEVERE ] updating countdown to 13120
[16:20:18.327] [SEVERE ] updating countdown to 13120
[16:20:18.438] [SEVERE ] updating countdown to 13009
[16:20:18.438] [SEVERE ] updating countdown to 13009
[16:20:18.548] [SEVERE ] updating countdown to 12899
[16:20:18.548] [SEVERE ] updating countdown to 12899
[16:20:18.658] [SEVERE ] updating countdown to 12790
[16:20:18.658] [SEVERE ] updating countdown to 12789
[16:20:18.766] [SEVERE ] updating countdown to 12681
[16:20:18.767] [SEVERE ] updating countdown to 12680
[16:20:18.876] [SEVERE ] updating countdown to 12571
[16:20:18.876] [SEVERE ] updating countdown to 12571
[16:20:18.986] [SEVERE ] updating countdown to 12461
[16:20:18.986] [SEVERE ] updating countdown to 12461
[16:20:19.096] [SEVERE ] updating countdown to 12351
[16:20:19.096] [SEVERE ] updating countdown to 12351
[16:20:19.206] [SEVERE ] updating countdown to 12241
[16:20:19.206] [SEVERE ] updating countdown to 12241
[16:20:19.317] [SEVERE ] updating countdown to 12130
[16:20:19.317] [SEVERE ] updating countdown to 12130
[16:20:19.427] [SEVERE ] updating countdown to 12020
[16:20:19.427] [SEVERE ] updating countdown to 12020
[16:20:19.538] [SEVERE ] updating countdown to 11909
[16:20:19.538] [SEVERE ] updating countdown to 11909
[16:20:19.647] [SEVERE ] updating countdown to 11800
[16:20:19.647] [SEVERE ] updating countdown to 11800
[16:20:19.757] [SEVERE ] updating countdown to 11690
[16:20:19.757] [SEVERE ] updating countdown to 11690
[16:20:19.867] [SEVERE ] updating countdown to 11580
[16:20:19.867] [SEVERE ] updating countdown to 11580
[16:20:19.977] [SEVERE ] updating countdown to 11470
[16:20:19.977] [SEVERE ] updating countdown to 11470
[16:20:20.086] [SEVERE ] updating countdown to 11361
[16:20:20.086] [SEVERE ] updating countdown to 11361
[16:20:20.196] [SEVERE ] updating countdown to 11251
[16:20:20.196] [SEVERE ] updating countdown to 11251
[16:20:20.306] [SEVERE ] updating countdown to 11141
[16:20:20.307] [SEVERE ] updating countdown to 11140
[16:20:20.416] [SEVERE ] updating countdown to 11031
[16:20:20.416] [SEVERE ] updating countdown to 11031
[16:20:20.526] [SEVERE ] updating countdown to 10921
[16:20:20.526] [SEVERE ] updating countdown to 10921
[16:20:20.636] [SEVERE ] updating countdown to 10811
[16:20:20.636] [SEVERE ] updating countdown to 10811
[16:20:20.747] [SEVERE ] updating countdown to 10700
[16:20:20.747] [SEVERE ] updating countdown to 10700
[16:20:20.858] [SEVERE ] updating countdown to 10589
[16:20:20.858] [SEVERE ] updating countdown to 10589
[16:20:20.966] [SEVERE ] updating countdown to 10481
[16:20:20.966] [SEVERE ] updating countdown to 10481
[16:20:21.076] [SEVERE ] updating countdown to 10371
[16:20:21.076] [SEVERE ] updating countdown to 10371
[16:20:21.185] [SEVERE ] updating countdown to 10262
[16:20:21.185] [SEVERE ] updating countdown to 10262
[16:20:21.294] [SEVERE ] updating countdown to 10153
[16:20:21.294] [SEVERE ] updating countdown to 10153
[16:20:21.395] [SEVERE ] updating countdown to 10052
[16:20:21.395] [SEVERE ] updating countdown to 10052
[16:20:21.505] [SEVERE ] updating countdown to 9942
[16:20:21.505] [SEVERE ] updating countdown to 9942
[16:20:21.614] [SEVERE ] updating countdown to 9833
[16:20:21.614] [SEVERE ] updating countdown to 9833
[16:20:21.724] [SEVERE ] updating countdown to 9723
[16:20:21.724] [SEVERE ] updating countdown to 9723
[16:20:21.834] [SEVERE ] updating countdown to 9613
[16:20:21.834] [SEVERE ] updating countdown to 9613
[16:20:21.943] [SEVERE ] updating countdown to 9504
[16:20:21.943] [SEVERE ] updating countdown to 9504
[16:20:22.053] [SEVERE ] updating countdown to 9394
[16:20:22.053] [SEVERE ] updating countdown to 9394
[16:20:22.164] [SEVERE ] updating countdown to 9283
[16:20:22.164] [SEVERE ] updating countdown to 9283
[16:20:22.274] [SEVERE ] updating countdown to 9173
[16:20:22.274] [SEVERE ] updating countdown to 9173
[16:20:22.384] [SEVERE ] updating countdown to 9063
[16:20:22.384] [SEVERE ] updating countdown to 9063
[16:20:22.495] [SEVERE ] updating countdown to 8952
[16:20:22.495] [SEVERE ] updating countdown to 8952
[16:20:22.605] [SEVERE ] updating countdown to 8842
[16:20:22.605] [SEVERE ] updating countdown to 8842
[16:20:22.716] [SEVERE ] updating countdown to 8731
[16:20:22.716] [SEVERE ] updating countdown to 8731
[16:20:22.826] [SEVERE ] updating countdown to 8621
[16:20:22.826] [SEVERE ] updating countdown to 8621
[16:20:22.936] [SEVERE ] updating countdown to 8511
[16:20:22.936] [SEVERE ] updating countdown to 8511
[16:20:23.038] [SEVERE ] updating countdown to 8409
[16:20:23.038] [SEVERE ] updating countdown to 8409
[16:20:23.139] [SEVERE ] updating countdown to 8308
[16:20:23.139] [SEVERE ] updating countdown to 8308
[16:20:23.249] [SEVERE ] updating countdown to 8198
[16:20:23.249] [SEVERE ] updating countdown to 8198
[16:20:23.358] [SEVERE ] updating countdown to 8089
[16:20:23.358] [SEVERE ] updating countdown to 8089
[16:20:23.470] [SEVERE ] updating countdown to 7977
[16:20:23.470] [SEVERE ] updating countdown to 7977
[16:20:23.580] [SEVERE ] updating countdown to 7867
[16:20:23.580] [SEVERE ] updating countdown to 7867
[16:20:23.690] [SEVERE ] updating countdown to 7757
[16:20:23.690] [SEVERE ] updating countdown to 7757
[16:20:23.799] [SEVERE ] updating countdown to 7648
[16:20:23.799] [SEVERE ] updating countdown to 7648
[16:20:23.909] [SEVERE ] updating countdown to 7538
[16:20:23.909] [SEVERE ] updating countdown to 7538
[16:20:24.020] [SEVERE ] updating countdown to 7427
[16:20:24.020] [SEVERE ] updating countdown to 7427
[16:20:24.129] [SEVERE ] updating countdown to 7318
[16:20:24.129] [SEVERE ] updating countdown to 7318
[16:20:24.239] [SEVERE ] updating countdown to 7208
[16:20:24.239] [SEVERE ] updating countdown to 7208
[16:20:24.349] [SEVERE ] updating countdown to 7098
[16:20:24.349] [SEVERE ] updating countdown to 7098
[16:20:24.460] [SEVERE ] updating countdown to 6987
[16:20:24.460] [SEVERE ] updating countdown to 6987
[16:20:24.570] [SEVERE ] updating countdown to 6877
[16:20:24.570] [SEVERE ] updating countdown to 6877
[16:20:24.681] [SEVERE ] updating countdown to 6766
[16:20:24.681] [SEVERE ] updating countdown to 6766
[16:20:24.790] [SEVERE ] updating countdown to 6657
[16:20:24.790] [SEVERE ] updating countdown to 6657
[16:20:24.900] [SEVERE ] updating countdown to 6547
[16:20:24.900] [SEVERE ] updating countdown to 6547
[16:20:25.009] [SEVERE ] updating countdown to 6438
[16:20:25.009] [SEVERE ] updating countdown to 6438
[16:20:25.119] [SEVERE ] updating countdown to 6328
[16:20:25.119] [SEVERE ] updating countdown to 6328
[16:20:25.230] [SEVERE ] updating countdown to 6217
[16:20:25.230] [SEVERE ] updating countdown to 6217
[16:20:25.338] [SEVERE ] updating countdown to 6109
[16:20:25.338] [SEVERE ] updating countdown to 6109
[16:20:25.448] [SEVERE ] updating countdown to 5999
[16:20:25.448] [SEVERE ] updating countdown to 5999
[16:20:25.558] [SEVERE ] updating countdown to 5889
[16:20:25.558] [SEVERE ] updating countdown to 5889
[16:20:25.669] [SEVERE ] updating countdown to 5778
[16:20:25.669] [SEVERE ] updating countdown to 5778
[16:20:25.780] [SEVERE ] updating countdown to 5667
[16:20:25.780] [SEVERE ] updating countdown to 5667
[16:20:25.891] [SEVERE ] updating countdown to 5556
[16:20:25.891] [SEVERE ] updating countdown to 5556
[16:20:26.000] [SEVERE ] updating countdown to 5447
[16:20:26.000] [SEVERE ] updating countdown to 5447
[16:20:26.109] [SEVERE ] updating countdown to 5338
[16:20:26.109] [SEVERE ] updating countdown to 5338
[16:20:26.220] [SEVERE ] updating countdown to 5227
[16:20:26.220] [SEVERE ] updating countdown to 5227
[16:20:26.331] [SEVERE ] updating countdown to 5116
[16:20:26.331] [SEVERE ] updating countdown to 5116
[16:20:26.442] [SEVERE ] updating countdown to 5005
[16:20:26.442] [SEVERE ] updating countdown to 5005
[16:20:31.504] [SEVERE ] updating countdown to 0
[16:20:31.504] [SEVERE ] updating countdown to 0
[16:20:31.504] [SEVERE ] updating countdown to 0
[16:20:31.504] [SEVERE ] updating countdown to 0
[16:20:31.614] [SEVERE ] removing card from slot 0
[16:20:31.725] [SEVERE ] removing card from slot 1
[16:20:31.835] [SEVERE ] removing card from slot 2
[16:20:31.944] [SEVERE ] removing card from slot 3
[16:20:32.054] [SEVERE ] removing card from slot 4
[16:20:32.163] [SEVERE ] removing card from slot 5
[16:20:32.274] [SEVERE ] removing card from slot 6
[16:20:32.385] [SEVERE ] removing card from slot 7
[16:20:32.495] [SEVERE ] removing card from slot 8
[16:20:32.605] [SEVERE ] removing card from slot 9
[16:20:32.714] [SEVERE ] removing card from slot 10
[16:20:32.825] [SEVERE ] removing card from slot 11
[16:20:32.934] [SEVERE ] placing card 41 in slot 0
[16:20:33.045] [SEVERE ] placing card 77 in slot 1
[16:20:33.156] [SEVERE ] placing card 65 in slot 2
[16:20:33.267] [SEVERE ] placing card 71 in slot 3
[16:20:33.377] [SEVERE ] placing card 5 in slot 4
[16:20:33.487] [SEVERE ] placing card 49 in slot 5
[16:20:33.597] [SEVERE ] placing card 73 in slot 6
[16:20:33.707] [SEVERE ] placing card 21 in slot 7
[16:20:33.817] [SEVERE ] placing card 14 in slot 8
[16:20:33.928] [SEVERE ] placing card 78 in slot 9
[16:20:34.038] [SEVERE ] placing card 48 in slot 10
[16:20:34.147] [SEVERE ] placing card 67 in slot 11
[16:20:34.148] [SEVERE ] updating countdown to 20000
[16:20:34.256] [SEVERE ] updating countdown to 19942
[16:20:34.256] [SEVERE ] updating countdown to 19942
[16:20:34.367] [SEVERE ] updating countdown to 19831
[16:20:34.367] [SEVERE ] updating countdown to 19831
[16:20:34.478] [SEVERE ] updating countdown to 19720
[16:20:34.478] [SEVERE ] updating countdown to 19720
[16:20:34.588] [SEVERE ] updating countdown to 19610
[16:20:34.588] [SEVERE ] updating countdown to 19610
[16:20:34.698] [SEVERE ] updating countdown to 19500
[16:20:34.698] [SEVERE ] updating countdown to 19500
[16:20:34.808] [SEVERE ] updating countdown to 19390
[16:20:34.808] [SEVERE ] updating countdown to 19390
[16:20:34.918] [SEVERE ] updating countdown to 19280
[16:20:34.918] [SEVERE ] updating countdown to 19280
[16:20:35.027] [SEVERE ] updating countdown to 19171
[16:20:35.027] [SEVERE ] updating countdown to 19171
[16:20:35.136] [SEVERE ] updating countdown to 19062
[16:20:35.136] [SEVERE ] updating countdown to 19062
[16:20:35.246] [SEVERE ] updating countdown to 18952
[16:20:35.246] [SEVERE ] updating countdown to 18952
[16:20:35.356] [SEVERE ] updating countdown to 18842
[16:20:35.356] [SEVERE ] updating countdown to 18842
[16:20:35.466] [SEVERE ] updating countdown to 18732
[16:20:35.466] [SEVERE ] updating countdown to 18732
[16:20:35.576] [SEVERE ] updating countdown to 18622
[16:20:35.576] [SEVERE ] updating countdown to 18622
[16:20:35.686] [SEVERE ] updating countdown to 18512
[16:20:35.686] [SEVERE ] updating countdown to 18512
[16:20:35.795] [SEVERE ] updating countdown to 18403
[16:20:35.795] [SEVERE ] updating countdown to 18403
[16:20:35.905] [SEVERE ] updating countdown to 18293
[16:20:35.905] [SEVERE ] updating countdown to 18293
[16:20:36.015] [SEVERE ] updating countdown to 18183
[16:20:36.015] [SEVERE ] updating countdown to 18183
[16:20:36.125] [SEVERE ] updating countdown to 18073
[16:20:36.125] [SEVERE ] updating countdown to 18073
[16:20:36.235] [SEVERE ] updating countdown to 17963
[16:20:36.235] [SEVERE ] updating countdown to 17963
[16:20:36.345] [SEVERE ] updating countdown to 17853
[16:20:36.345] [SEVERE ] updating countdown to 17853
[16:20:36.454] [SEVERE ] updating countdown to 17744
[16:20:36.454] [SEVERE ] updating countdown to 17744
[16:20:36.565] [SEVERE ] updating countdown to 17633
[16:20:36.565] [SEVERE ] updating countdown to 17633
[16:20:36.675] [SEVERE ] updating countdown to 17523
[16:20:36.675] [SEVERE ] updating countdown to 17523
[16:20:36.785] [SEVERE ] updating countdown to 17413
[16:20:36.785] [SEVERE ] updating countdown to 17413
[16:20:36.895] [SEVERE ] updating countdown to 17303
[16:20:36.895] [SEVERE ] updating countdown to 17303
[16:20:37.005] [SEVERE ] updating countdown to 17193
[16:20:37.005] [SEVERE ] updating countdown to 17193
[16:20:37.115] [SEVERE ] updating countdown to 17083
[16:20:37.115] [SEVERE ] updating countdown to 17083
[16:20:37.225] [SEVERE ] updating countdown to 16973
[16:20:37.225] [SEVERE ] updating countdown to 16973
[16:20:37.335] [SEVERE ] updating countdown to 16863
[16:20:37.335] [SEVERE ] updating countdown to 16863
[16:20:37.444] [SEVERE ] updating countdown to 16754
[16:20:37.444] [SEVERE ] updating countdown to 16754
[16:20:37.554] [SEVERE ] updating countdown to 16644
[16:20:37.554] [SEVERE ] updating countdown to 16644
[16:20:37.667] [SEVERE ] updating countdown to 16531
[16:20:37.667] [SEVERE ] updating countdown to 16531
[16:20:37.776] [SEVERE ] updating countdown to 16422
[16:20:37.776] [SEVERE ] updating countdown to 16422
[16:20:37.886] [SEVERE ] updating countdown to 16312
[16:20:37.886] [SEVERE ] updating countdown to 16312
[16:20:37.995] [SEVERE ] updating countdown to 16203
[16:20:37.995] [SEVERE ] updating countdown to 16203
[16:20:38.105] [SEVERE ] updating countdown to 16093
[16:20:38.105] [SEVERE ] updating countdown to 16093
[16:20:38.216] [SEVERE ] updating countdown to 15982
[16:20:38.216] [SEVERE ] updating countdown to 15982
[16:20:38.327] [SEVERE ] updating countdown to 15871
[16:20:38.327] [SEVERE ] updating countdown to 15871
[16:20:38.436] [SEVERE ] updating countdown to 15762
[16:20:38.436] [SEVERE ] updating countdown to 15762
[16:20:38.545] [SEVERE ] updating countdown to 15653
[16:20:38.545] [SEVERE ] updating countdown to 15653
[16:20:38.654] [SEVERE ] updating countdown to 15544
[16:20:38.654] [SEVERE ] updating countdown to 15544
[16:20:38.764] [SEVERE ] updating countdown to 15434
