[16:02:23.976] [INFO   ] thread main starting.
[16:02:23.984] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:02:23.992] [SEVERE ] configuration file was loaded from resources directory.
[16:02:24.672] [INFO   ] thread dealer starting.
[16:02:24.676] [INFO   ] thread dealer starting.
[16:02:24.678] [INFO   ] thread Thread-0 starting.
[16:02:24.679] [INFO   ] thread Thread-1 starting.
[16:02:24.680] [SEVERE ] updating countdown to 20000
[16:02:24.800] [SEVERE ] placing card 49 in slot 0
[16:02:24.915] [SEVERE ] placing card 23 in slot 1
[16:02:25.031] [SEVERE ] placing card 12 in slot 2
[16:02:25.138] [SEVERE ] placing card 46 in slot 3
[16:02:25.248] [SEVERE ] placing card 1 in slot 4
[16:02:25.360] [SEVERE ] placing card 45 in slot 5
[16:02:25.464] [SEVERE ] placing card 66 in slot 6
[16:02:25.566] [SEVERE ] placing card 42 in slot 7
[16:02:25.679] [SEVERE ] placing card 29 in slot 8
[16:02:25.782] [SEVERE ] placing card 24 in slot 9
[16:02:25.895] [SEVERE ] placing card 39 in slot 10
[16:02:25.998] [SEVERE ] placing card 79 in slot 11
[16:02:25.998] [SEVERE ] updating countdown to 20000
[16:02:26.114] [SEVERE ] updating countdown to 19934
[16:02:26.114] [SEVERE ] updating countdown to 19934
[16:02:26.225] [SEVERE ] updating countdown to 19823
[16:02:26.225] [SEVERE ] updating countdown to 19823
[16:02:26.335] [SEVERE ] updating countdown to 19713
[16:02:26.335] [SEVERE ] updating countdown to 19713
[16:02:26.445] [SEVERE ] updating countdown to 19603
[16:02:26.445] [SEVERE ] updating countdown to 19603
[16:02:26.554] [SEVERE ] updating countdown to 19494
[16:02:26.554] [SEVERE ] updating countdown to 19494
[16:02:26.664] [SEVERE ] updating countdown to 19384
[16:02:26.664] [SEVERE ] updating countdown to 19384
[16:02:26.775] [SEVERE ] updating countdown to 19273
[16:02:26.775] [SEVERE ] updating countdown to 19273
[16:02:26.884] [SEVERE ] updating countdown to 19164
[16:02:26.885] [SEVERE ] updating countdown to 19163
[16:02:26.994] [SEVERE ] updating countdown to 19054
[16:02:26.995] [SEVERE ] updating countdown to 19053
[16:02:27.104] [SEVERE ] updating countdown to 18944
[16:02:27.104] [SEVERE ] updating countdown to 18944
[16:02:27.213] [SEVERE ] updating countdown to 18835
[16:02:27.213] [SEVERE ] updating countdown to 18835
[16:02:27.323] [SEVERE ] updating countdown to 18725
[16:02:27.323] [SEVERE ] updating countdown to 18725
[16:02:27.435] [SEVERE ] updating countdown to 18613
[16:02:27.435] [SEVERE ] updating countdown to 18613
[16:02:27.546] [SEVERE ] updating countdown to 18502
[16:02:27.546] [SEVERE ] updating countdown to 18502
[16:02:27.657] [SEVERE ] updating countdown to 18391
[16:02:27.657] [SEVERE ] updating countdown to 18391
[16:02:27.768] [SEVERE ] updating countdown to 18280
[16:02:27.768] [SEVERE ] updating countdown to 18280
[16:02:27.877] [SEVERE ] updating countdown to 18171
[16:02:27.877] [SEVERE ] updating countdown to 18171
[16:02:27.987] [SEVERE ] updating countdown to 18061
[16:02:27.987] [SEVERE ] updating countdown to 18061
[16:02:28.096] [SEVERE ] updating countdown to 17952
[16:02:28.096] [SEVERE ] updating countdown to 17952
[16:02:28.206] [SEVERE ] updating countdown to 17842
[16:02:28.206] [SEVERE ] updating countdown to 17842
[16:02:28.316] [SEVERE ] updating countdown to 17732
[16:02:28.316] [SEVERE ] updating countdown to 17732
[16:02:28.426] [SEVERE ] updating countdown to 17622
[16:02:28.427] [SEVERE ] updating countdown to 17621
[16:02:28.537] [SEVERE ] updating countdown to 17511
[16:02:28.537] [SEVERE ] updating countdown to 17511
[16:02:28.649] [SEVERE ] updating countdown to 17399
[16:02:28.649] [SEVERE ] updating countdown to 17399
[16:02:28.759] [SEVERE ] updating countdown to 17289
[16:02:28.759] [SEVERE ] updating countdown to 17289
[16:02:28.868] [SEVERE ] updating countdown to 17180
[16:02:28.868] [SEVERE ] updating countdown to 17180
[16:02:28.978] [SEVERE ] updating countdown to 17070
[16:02:28.978] [SEVERE ] updating countdown to 17070
[16:02:29.088] [SEVERE ] updating countdown to 16960
[16:02:29.088] [SEVERE ] updating countdown to 16960
[16:02:29.195] [SEVERE ] updating countdown to 16853
[16:02:29.195] [SEVERE ] updating countdown to 16853
[16:02:29.305] [SEVERE ] updating countdown to 16743
[16:02:29.305] [SEVERE ] updating countdown to 16743
[16:02:29.414] [SEVERE ] updating countdown to 16634
[16:02:29.414] [SEVERE ] updating countdown to 16634
[16:02:29.524] [SEVERE ] updating countdown to 16524
[16:02:29.524] [SEVERE ] updating countdown to 16524
[16:02:29.633] [SEVERE ] updating countdown to 16415
[16:02:29.633] [SEVERE ] updating countdown to 16415
[16:02:29.744] [SEVERE ] updating countdown to 16304
[16:02:29.744] [SEVERE ] updating countdown to 16304
[16:02:29.853] [SEVERE ] updating countdown to 16195
[16:02:29.853] [SEVERE ] updating countdown to 16195
[16:02:29.963] [SEVERE ] updating countdown to 16085
[16:02:29.963] [SEVERE ] updating countdown to 16085
[16:02:30.073] [SEVERE ] updating countdown to 15975
[16:02:30.073] [SEVERE ] updating countdown to 15975
[16:02:30.182] [SEVERE ] updating countdown to 15866
[16:02:30.182] [SEVERE ] updating countdown to 15866
[16:02:30.291] [SEVERE ] updating countdown to 15757
[16:02:30.291] [SEVERE ] updating countdown to 15757
[16:02:30.401] [SEVERE ] updating countdown to 15647
[16:02:30.401] [SEVERE ] updating countdown to 15647
[16:02:30.512] [SEVERE ] updating countdown to 15536
[16:02:30.512] [SEVERE ] updating countdown to 15536
[16:02:30.622] [SEVERE ] updating countdown to 15426
[16:02:30.622] [SEVERE ] updating countdown to 15426
[16:02:30.732] [SEVERE ] updating countdown to 15316
[16:02:30.732] [SEVERE ] updating countdown to 15316
[16:02:30.843] [SEVERE ] updating countdown to 15205
[16:02:30.843] [SEVERE ] updating countdown to 15205
[16:02:30.952] [SEVERE ] updating countdown to 15096
[16:02:30.952] [SEVERE ] updating countdown to 15096
[16:02:31.063] [SEVERE ] updating countdown to 14985
[16:02:31.063] [SEVERE ] updating countdown to 14985
[16:02:31.173] [SEVERE ] updating countdown to 14875
[16:02:31.173] [SEVERE ] updating countdown to 14875
[16:02:31.284] [SEVERE ] updating countdown to 14764
[16:02:31.284] [SEVERE ] updating countdown to 14764
[16:02:31.391] [SEVERE ] updating countdown to 14657
[16:02:31.391] [SEVERE ] updating countdown to 14657
[16:02:31.501] [SEVERE ] updating countdown to 14547
[16:02:31.501] [SEVERE ] updating countdown to 14547
[16:02:31.610] [SEVERE ] updating countdown to 14438
[16:02:31.610] [SEVERE ] updating countdown to 14438
[16:02:31.722] [SEVERE ] updating countdown to 14326
[16:02:31.722] [SEVERE ] updating countdown to 14326
[16:02:31.831] [SEVERE ] updating countdown to 14217
[16:02:31.831] [SEVERE ] updating countdown to 14217
[16:02:31.941] [SEVERE ] updating countdown to 14107
[16:02:31.941] [SEVERE ] updating countdown to 14107
