[10:48:20.581] [INFO   ] thread main starting.
[10:48:20.596] [SEVERE ] cannot read configuration file config.properties trying from resources.
[10:48:20.602] [SEVERE ] configuration file was loaded from resources directory.
[10:48:21.843] [INFO   ] thread dealer starting.
[10:48:21.849] [INFO   ] thread dealer starting.
[10:48:21.854] [INFO   ] thread Thread-0 starting.
[10:48:21.857] [INFO   ] creat AI step 1 
[10:48:21.857] [INFO   ] thread computer-0 starting.
[10:48:21.857] [INFO   ] creat AI step 2 
[10:48:21.858] [INFO   ] creat AI step 3 
[10:48:21.858] [INFO   ] thread Thread-0wip1
[10:48:21.861] [INFO   ] thread Thread-1 starting.
[10:48:21.858] [INFO   ] creat AI step 7 
[10:48:21.890] [INFO   ] thread Thread-0wip2
[10:48:21.891] [INFO   ] AI key pressed step 1 
[10:48:21.892] [INFO   ] thread Thread-0wip3
[10:48:21.892] [INFO   ] thread Thread-0wip4
[10:48:21.893] [INFO   ] AI key pressed step 2 
[10:48:21.894] [INFO   ] KP step 1computer-0
[10:48:21.894] [INFO   ] KP step 10computer-0
[10:48:21.894] [INFO   ] AI key pressed step 3, random slot: 8
[10:48:21.895] [INFO   ] creat AI step 8 
[10:48:21.895] [INFO   ] creat AI step 9 
[10:48:21.897] [INFO   ] thread Thread-0wip5
[10:48:21.897] [INFO   ] thread Thread-0 after  synchronize on dealer.
[10:48:21.897] [INFO   ] thread Thread-0 before notify synchronize on dealer.
[10:48:21.898] [INFO   ] thread Thread-0 while is not checked.
[10:48:21.898] [INFO   ] creat AI step 10 
[10:48:21.898] [INFO   ] creat AI step 11 
[10:48:21.899] [INFO   ] creat AI step 3 
[10:48:21.899] [INFO   ] creat AI step 7 
[10:48:21.899] [INFO   ] AI key pressed step 1 
[10:48:21.899] [INFO   ] AI key pressed step 2 
[10:48:21.899] [INFO   ] KP step 1computer-0
[10:48:21.900] [INFO   ] KP step 10computer-0
[10:48:21.900] [INFO   ] AI key pressed step 3, random slot: 9
[10:48:21.900] [INFO   ] creat AI step 8 
[10:48:21.900] [INFO   ] creat AI step 9 
[10:48:21.901] [INFO   ] thread Thread-0 wake up because is checked.
[10:48:21.901] [INFO   ] thread Thread-0 while is not checked.
[10:48:21.902] [INFO   ] creat AI step 10 
[10:48:21.902] [INFO   ] creat AI step 11 
[10:48:21.902] [INFO   ] creat AI step 3 
[10:48:21.903] [INFO   ] creat AI step 7 
[10:48:21.903] [INFO   ] AI key pressed step 1 
[10:48:21.903] [INFO   ] AI key pressed step 2 
[10:48:21.904] [INFO   ] KP step 1computer-0
[10:48:21.904] [INFO   ] KP step 10computer-0
[10:48:21.904] [INFO   ] AI key pressed step 3, random slot: 3
[10:48:21.905] [INFO   ] creat AI step 8 
[10:48:21.905] [INFO   ] creat AI step 9 
[10:48:21.905] [INFO   ] thread Thread-0 wake up because is checked.
[10:48:21.906] [INFO   ] thread Thread-0 while is not checked.
[10:48:21.906] [INFO   ] creat AI step 10 
[10:48:21.906] [INFO   ] creat AI step 11 
[10:48:21.906] [INFO   ] creat AI step 3 
[10:48:21.907] [INFO   ] creat AI step 7 
[10:48:21.907] [INFO   ] AI key pressed step 1 
[10:48:21.907] [INFO   ] AI key pressed step 2 
[10:48:21.908] [INFO   ] KP step 1computer-0
[10:48:21.908] [INFO   ] KP step 10computer-0
[10:48:21.908] [INFO   ] creat AI step 1 
[10:48:21.908] [INFO   ] AI key pressed step 3, random slot: 5
[10:48:21.908] [INFO   ] thread computer-1 starting.
[10:48:21.909] [INFO   ] creat AI step 8 
[10:48:21.909] [INFO   ] creat AI step 2 
[10:48:21.909] [INFO   ] creat AI step 9 
[10:48:21.910] [INFO   ] thread Thread-0 wake up because is checked.
[10:48:21.910] [INFO   ] thread Thread-1wip1
[10:48:21.911] [INFO   ] thread Thread-1wip2
[10:48:21.911] [INFO   ] thread Thread-1wip3
[10:48:21.911] [INFO   ] thread Thread-1wip4
[10:48:21.910] [SEVERE ] updating countdown to 60000
[10:48:21.910] [INFO   ] creat AI step 3 
[10:48:21.910] [INFO   ] thread Thread-0 while is not checked.
[10:48:21.914] [INFO   ] creat AI step 10 
[10:48:21.914] [INFO   ] creat AI step 11 
[10:48:21.914] [INFO   ] creat AI step 3 
[10:48:21.914] [INFO   ] creat AI step 7 
[10:48:21.914] [INFO   ] AI key pressed step 1 
[10:48:21.915] [INFO   ] AI key pressed step 2 
[10:48:21.913] [INFO   ] creat AI step 7 
[10:48:21.915] [INFO   ] KP step 1computer-0
[10:48:21.915] [INFO   ] AI key pressed step 1 
[10:48:21.916] [INFO   ] KP step 10computer-0
[10:48:21.916] [INFO   ] AI key pressed step 2 
[10:48:21.916] [INFO   ] AI key pressed step 3, random slot: 4
[10:48:21.917] [INFO   ] KP step 1computer-1
[10:48:21.918] [INFO   ] creat AI step 8 
[10:48:21.918] [INFO   ] KP step 10computer-1
[10:48:21.918] [INFO   ] creat AI step 9 
[10:48:21.919] [INFO   ] thread Thread-0 wake up because is checked.
[10:48:21.920] [INFO   ] thread Thread-0 while is not checked.
[10:48:21.919] [INFO   ] AI key pressed step 3, random slot: 10
[10:48:21.920] [INFO   ] creat AI step 10 
[10:48:21.920] [INFO   ] creat AI step 8 
[10:48:21.920] [INFO   ] creat AI step 11 
[10:48:21.921] [INFO   ] creat AI step 9 
[10:48:21.921] [INFO   ] thread Thread-1wip5
[10:48:21.921] [INFO   ] creat AI step 3 
[10:48:21.921] [INFO   ] thread Thread-1 after  synchronize on dealer.
[10:48:21.922] [INFO   ] creat AI step 7 
[10:48:21.922] [INFO   ] thread Thread-1 before notify synchronize on dealer.
[10:48:21.922] [INFO   ] AI key pressed step 1 
[10:48:21.923] [INFO   ] AI key pressed step 2 
[10:48:21.923] [INFO   ] KP step 1computer-0
[10:48:21.923] [INFO   ] KP step 10computer-0
[10:48:21.923] [INFO   ] AI key pressed step 3, random slot: 10
[10:48:21.923] [INFO   ] creat AI step 8 
[10:48:21.923] [INFO   ] creat AI step 9 
[10:48:21.922] [INFO   ] thread Thread-1 while is not checked.
[10:48:21.924] [INFO   ] thread Thread-0 wake up because is checked.
[10:48:21.924] [INFO   ] creat AI step 10 
[10:48:21.925] [INFO   ] thread Thread-0 while is not checked.
[10:48:21.925] [INFO   ] creat AI step 11 
[10:48:21.925] [INFO   ] creat AI step 10 
[10:48:21.925] [INFO   ] creat AI step 3 
[10:48:21.925] [INFO   ] creat AI step 11 
[10:48:21.926] [INFO   ] creat AI step 7 
[10:48:21.926] [INFO   ] creat AI step 3 
[10:48:21.926] [INFO   ] AI key pressed step 1 
[10:48:21.927] [INFO   ] creat AI step 7 
[10:48:21.929] [INFO   ] AI key pressed step 1 
[10:48:21.929] [INFO   ] AI key pressed step 2 
[10:48:21.929] [INFO   ] KP step 1computer-0
[10:48:21.929] [INFO   ] KP step 10computer-0
[10:48:21.929] [INFO   ] AI key pressed step 3, random slot: 11
[10:48:21.928] [INFO   ] AI key pressed step 2 
[10:48:21.929] [INFO   ] creat AI step 8 
[10:48:21.930] [INFO   ] creat AI step 9 
[10:48:21.930] [INFO   ] thread Thread-0 wake up because is checked.
[10:48:21.930] [INFO   ] thread Thread-0 while is not checked.
[10:48:21.931] [INFO   ] creat AI step 10 
[10:48:21.930] [INFO   ] KP step 1computer-1
