[12:26:22.313] [INFO   ] thread main starting.
[12:26:22.350] [SEVERE ] cannot read configuration file config.properties trying from resources.
[12:26:22.364] [SEVERE ] configuration file was loaded from resources directory.
[12:26:23.558] [INFO   ] thread dealer starting.
[12:26:23.569] [INFO   ] thread dealer starting.
[12:26:23.578] [INFO   ] thread Thread-0 starting.
[12:26:23.598] [INFO   ] creat AI step 1 
[12:26:23.599] [INFO   ] thread computer-0 starting.
[12:26:23.600] [INFO   ] creat AI step 2 
[12:26:23.600] [INFO   ] creat AI step 3 
[12:26:23.600] [INFO   ] creat AI step 7 
[12:26:23.600] [INFO   ] thread Thread-0wip1
[12:26:23.602] [INFO   ] AI key pressed step 1 
[12:26:23.603] [INFO   ] thread Thread-0wip2
[12:26:23.603] [INFO   ] thread Thread-0wip3
[12:26:23.604] [INFO   ] thread Thread-0wip4
[12:26:23.619] [INFO   ] thread Thread-1 starting.
[12:26:23.631] [INFO   ] AI key pressed step 2 
[12:26:23.632] [INFO   ] KP step 1computer-0
[12:26:23.633] [INFO   ] KP step 10computer-0
[12:26:23.633] [INFO   ] AI key pressed step 3, random slot: 4
[12:26:23.634] [INFO   ] creat AI step 8 
[12:26:23.634] [INFO   ] creat AI step 9 
[12:26:23.635] [INFO   ] thread Thread-0wip5
[12:26:23.635] [INFO   ] thread Thread-0wip3
[12:26:23.636] [INFO   ] thread Thread-0wip4
[12:26:23.636] [INFO   ] creat AI step 10 
[12:26:23.636] [INFO   ] creat AI step 11 
[12:26:23.637] [INFO   ] creat AI step 3 
[12:26:23.637] [INFO   ] creat AI step 7 
[12:26:23.637] [INFO   ] AI key pressed step 1 
[12:26:23.637] [INFO   ] AI key pressed step 2 
[12:26:23.638] [INFO   ] KP step 1computer-0
[12:26:23.638] [INFO   ] KP step 10computer-0
[12:26:23.638] [INFO   ] AI key pressed step 3, random slot: 4
[12:26:23.638] [INFO   ] creat AI step 8 
[12:26:23.638] [INFO   ] creat AI step 9 
[12:26:23.639] [INFO   ] thread Thread-0wip5
[12:26:23.639] [INFO   ] thread Thread-0wip3
[12:26:23.639] [INFO   ] thread Thread-0wip4
[12:26:23.639] [INFO   ] creat AI step 10 
[12:26:23.640] [INFO   ] creat AI step 11 
[12:26:23.640] [INFO   ] creat AI step 3 
[12:26:23.640] [INFO   ] creat AI step 7 
[12:26:23.641] [INFO   ] AI key pressed step 1 
[12:26:23.641] [INFO   ] AI key pressed step 2 
[12:26:23.641] [INFO   ] KP step 1computer-0
[12:26:23.642] [INFO   ] KP step 10computer-0
[12:26:23.642] [INFO   ] AI key pressed step 3, random slot: 4
[12:26:23.643] [INFO   ] creat AI step 8 
[12:26:23.643] [INFO   ] creat AI step 9 
[12:26:23.644] [INFO   ] thread Thread-0wip5
[12:26:23.644] [INFO   ] thread Thread-0wip3
[12:26:23.645] [INFO   ] thread Thread-0wip4
[12:26:23.645] [INFO   ] creat AI step 10 
[12:26:23.645] [INFO   ] creat AI step 11 
[12:26:23.645] [INFO   ] creat AI step 3 
[12:26:23.646] [INFO   ] creat AI step 7 
[12:26:23.646] [INFO   ] AI key pressed step 1 
[12:26:23.646] [INFO   ] AI key pressed step 2 
[12:26:23.646] [INFO   ] KP step 1computer-0
[12:26:23.646] [INFO   ] KP step 10computer-0
[12:26:23.646] [INFO   ] AI key pressed step 3, random slot: 10
[12:26:23.646] [INFO   ] creat AI step 8 
[12:26:23.648] [INFO   ] creat AI step 9 
[12:26:23.648] [INFO   ] thread Thread-0wip5
[12:26:23.648] [INFO   ] thread Thread-0wip3
[12:26:23.648] [INFO   ] thread Thread-0wip4
[12:26:23.649] [INFO   ] creat AI step 10 
[12:26:23.650] [INFO   ] creat AI step 11 
[12:26:23.650] [INFO   ] creat AI step 3 
