[15:29:49.114] [INFO   ] thread main starting.
[15:29:49.128] [SEVERE ] cannot read configuration file config.properties trying from resources.
[15:29:49.131] [SEVERE ] configuration file was loaded from resources directory.
[15:29:50.603] [INFO   ] thread dealer starting.
[15:29:50.605] [INFO   ] thread dealer starting.
[15:29:50.606] [INFO   ] thread Thread-0 starting.
[15:29:50.609] [INFO   ] creat AI step 1 
[15:29:50.609] [INFO   ] thread computer-0 starting.
[15:29:50.609] [INFO   ] creat AI step 2 
[15:29:50.610] [INFO   ] creat AI step 3 
[15:29:50.610] [INFO   ] thread Thread-0wip1
[15:29:50.611] [INFO   ] thread Thread-1 starting.
[15:29:50.610] [INFO   ] creat AI step 7 
[15:29:50.612] [INFO   ] thread Thread-0wip2
[15:29:50.614] [INFO   ] creat AI step 1 
[15:29:50.614] [INFO   ] AI key pressed step 1 
[15:29:50.615] [INFO   ] thread computer-1 starting.
[15:29:50.614] [INFO   ] thread Thread-0wip3
[15:29:50.616] [INFO   ] AI key pressed step 2 
[15:29:50.616] [INFO   ] creat AI step 2 
[15:29:50.617] [INFO   ] KP step 1computer-0
[15:29:50.616] [INFO   ] thread Thread-0wip4
[15:29:50.617] [INFO   ] KP step 10computer-0
[15:29:50.617] [INFO   ] thread Thread-1wip1
[15:29:50.617] [SEVERE ] updating countdown to 60000
[15:29:50.617] [INFO   ] creat AI step 3 
[15:29:50.618] [INFO   ] thread Thread-1wip2
[15:29:50.619] [INFO   ] thread Thread-1wip3
[15:29:50.618] [INFO   ] AI key pressed step 3, random slot: 7
[15:29:50.619] [INFO   ] creat AI step 8 
[15:29:50.620] [INFO   ] creat AI step 9 
[15:29:50.619] [INFO   ] thread Thread-1wip4
[15:29:50.620] [INFO   ] thread Thread-0wip5
[15:29:50.621] [INFO   ] creat AI step 7 
[15:29:50.621] [INFO   ] thread Thread-0 after  synchronize on dealer.
[15:29:50.622] [INFO   ] AI key pressed step 1 
[15:29:50.622] [INFO   ] thread Thread-0 before notify synchronize on dealer.
[15:29:50.622] [INFO   ] AI key pressed step 2 
[15:29:50.623] [INFO   ] creat AI step 10 
[15:29:50.623] [INFO   ] KP step 1computer-1
[15:29:50.623] [INFO   ] creat AI step 11 
[15:29:50.623] [INFO   ] KP step 10computer-1
[15:29:50.624] [INFO   ] creat AI step 3 
[15:29:50.624] [INFO   ] AI key pressed step 3, random slot: 6
[15:29:50.624] [INFO   ] creat AI step 7 
[15:29:50.625] [INFO   ] creat AI step 8 
[15:29:50.625] [INFO   ] AI key pressed step 1 
[15:29:50.625] [INFO   ] AI key pressed step 2 
[15:29:50.625] [INFO   ] creat AI step 9 
[15:29:50.626] [INFO   ] KP step 1computer-0
[15:29:50.626] [INFO   ] thread Thread-1wip5
[15:29:50.626] [INFO   ] KP step 10computer-0
[15:29:50.628] [INFO   ] AI key pressed step 3, random slot: 4
[15:29:50.628] [INFO   ] creat AI step 8 
[15:29:50.628] [INFO   ] creat AI step 9 
[15:29:50.627] [INFO   ] thread Thread-1 after  synchronize on dealer.
[15:29:50.630] [INFO   ] thread Thread-0wip1
[15:29:50.630] [INFO   ] thread Thread-1 before notify synchronize on dealer.
[15:29:50.630] [INFO   ] thread Thread-0wip2
[15:29:50.631] [INFO   ] creat AI step 10 
[15:29:50.631] [INFO   ] thread Thread-0wip3
[15:29:50.632] [INFO   ] creat AI step 11 
[15:29:50.632] [INFO   ] thread Thread-0wip4
[15:29:50.632] [INFO   ] creat AI step 3 
[15:29:50.633] [INFO   ] creat AI step 7 
[15:29:50.633] [INFO   ] AI key pressed step 1 
[15:29:50.633] [INFO   ] AI key pressed step 2 
[15:29:50.633] [INFO   ] KP step 1computer-1
[15:29:50.633] [INFO   ] KP step 10computer-1
[15:29:50.633] [INFO   ] creat AI step 10 
[15:29:50.634] [INFO   ] AI key pressed step 3, random slot: 1
[15:29:50.634] [INFO   ] creat AI step 11 
[15:29:50.634] [INFO   ] creat AI step 8 
[15:29:50.635] [INFO   ] creat AI step 9 
[15:29:50.634] [INFO   ] creat AI step 3 
[15:29:50.635] [INFO   ] thread Thread-1wip1
[15:29:50.636] [INFO   ] thread Thread-1wip2
[15:29:50.637] [INFO   ] thread Thread-1wip3
[15:29:50.636] [INFO   ] creat AI step 7 
[15:29:50.637] [INFO   ] AI key pressed step 1 
[15:29:50.637] [INFO   ] thread Thread-1wip4
[15:29:50.637] [INFO   ] AI key pressed step 2 
[15:29:50.638] [INFO   ] KP step 1computer-0
[15:29:50.638] [INFO   ] KP step 10computer-0
[15:29:50.638] [INFO   ] creat AI step 10 
[15:29:50.638] [INFO   ] AI key pressed step 3, random slot: 1
[15:29:50.639] [INFO   ] creat AI step 8 
[15:29:50.639] [INFO   ] creat AI step 11 
[15:29:50.639] [INFO   ] creat AI step 9 
[15:29:50.639] [INFO   ] creat AI step 3 
[15:29:50.640] [INFO   ] thread Thread-0wip5
[15:29:50.640] [INFO   ] thread Thread-0 after  synchronize on dealer.
[15:29:50.640] [INFO   ] creat AI step 7 
[15:29:50.640] [INFO   ] thread Thread-0 before notify synchronize on dealer.
[15:29:50.640] [INFO   ] AI key pressed step 1 
[15:29:50.640] [INFO   ] creat AI step 10 
[15:29:50.641] [INFO   ] AI key pressed step 2 
[15:29:50.641] [INFO   ] creat AI step 11 
[15:29:50.641] [INFO   ] KP step 1computer-1
[15:29:50.642] [INFO   ] creat AI step 3 
[15:29:50.642] [INFO   ] KP step 10computer-1
[15:29:50.644] [INFO   ] creat AI step 7 
[15:29:50.644] [INFO   ] AI key pressed step 3, random slot: 0
[15:29:50.644] [INFO   ] AI key pressed step 1 
[15:29:50.644] [INFO   ] creat AI step 8 
[15:29:50.644] [INFO   ] AI key pressed step 2 
[15:29:50.644] [INFO   ] KP step 1computer-0
[15:29:50.644] [INFO   ] creat AI step 9 
[15:29:50.644] [INFO   ] KP step 10computer-0
[15:29:50.645] [INFO   ] AI key pressed step 3, random slot: 0
[15:29:50.645] [INFO   ] creat AI step 8 
[15:29:50.645] [INFO   ] creat AI step 9 
[15:29:50.645] [INFO   ] thread Thread-0wip1
[15:29:50.646] [INFO   ] thread Thread-0wip2
[15:29:50.646] [INFO   ] thread Thread-0wip3
[15:29:50.646] [INFO   ] thread Thread-0wip4
[15:29:50.646] [INFO   ] thread Thread-1wip5
[15:29:50.647] [INFO   ] thread Thread-1 after  synchronize on dealer.
[15:29:50.647] [INFO   ] thread Thread-1 before notify synchronize on dealer.
[15:29:50.647] [INFO   ] creat AI step 10 
[15:29:50.647] [INFO   ] creat AI step 11 
[15:29:50.648] [INFO   ] creat AI step 3 
[15:29:50.648] [INFO   ] creat AI step 7 
[15:29:50.648] [INFO   ] AI key pressed step 1 
[15:29:50.648] [INFO   ] AI key pressed step 2 
[15:29:50.648] [INFO   ] KP step 1computer-1
[15:29:50.648] [INFO   ] KP step 10computer-1
[15:29:50.648] [INFO   ] AI key pressed step 3, random slot: 3
[15:29:50.650] [INFO   ] creat AI step 8 
[15:29:50.650] [INFO   ] creat AI step 9 
[15:29:50.646] [INFO   ] creat AI step 10 
[15:29:50.650] [INFO   ] creat AI step 11 
[15:29:50.651] [INFO   ] thread Thread-1wip1
[15:29:50.651] [INFO   ] thread Thread-1wip2
[15:29:50.651] [INFO   ] creat AI step 3 
[15:29:50.651] [INFO   ] thread Thread-1wip3
[15:29:50.652] [INFO   ] thread Thread-1wip4
[15:29:50.652] [INFO   ] creat AI step 7 
[15:29:50.652] [INFO   ] creat AI step 10 
[15:29:50.652] [INFO   ] creat AI step 11 
[15:29:50.653] [INFO   ] creat AI step 3 
[15:29:50.653] [INFO   ] creat AI step 7 
[15:29:50.653] [INFO   ] AI key pressed step 1 
[15:29:50.653] [INFO   ] AI key pressed step 2 
[15:29:50.653] [INFO   ] KP step 1computer-1
[15:29:50.653] [INFO   ] KP step 10computer-1
[15:29:50.654] [INFO   ] AI key pressed step 3, random slot: 1
[15:29:50.652] [INFO   ] AI key pressed step 1 
[15:29:50.654] [INFO   ] creat AI step 8 
[15:29:50.654] [INFO   ] AI key pressed step 2 
[15:29:50.655] [INFO   ] KP step 1computer-0
[15:29:50.654] [INFO   ] creat AI step 9 
[15:29:50.655] [INFO   ] KP step 10computer-0
[15:29:50.655] [INFO   ] AI key pressed step 3, random slot: 10
[15:29:50.655] [INFO   ] creat AI step 8 
[15:29:50.656] [INFO   ] creat AI step 9 
[15:29:50.655] [INFO   ] thread Thread-1wip5
[15:29:50.656] [INFO   ] thread Thread-0wip5
[15:29:50.656] [INFO   ] thread Thread-1 after  synchronize on dealer.
[15:29:50.657] [INFO   ] thread Thread-1 before notify synchronize on dealer.
[15:29:50.657] [INFO   ] creat AI step 10 
[15:29:50.657] [INFO   ] creat AI step 11 
[15:29:50.657] [INFO   ] thread Thread-0 after  synchronize on dealer.
[15:29:50.657] [INFO   ] creat AI step 3 
[15:29:50.658] [INFO   ] thread Thread-0 before notify synchronize on dealer.
[15:29:50.658] [INFO   ] creat AI step 7 
[15:29:50.658] [INFO   ] creat AI step 10 
[15:29:50.659] [INFO   ] AI key pressed step 1 
[15:29:50.659] [INFO   ] creat AI step 11 
[15:29:50.660] [INFO   ] AI key pressed step 2 
[15:29:50.660] [INFO   ] creat AI step 3 
[15:29:50.661] [INFO   ] KP step 1computer-1
[15:29:50.661] [INFO   ] creat AI step 7 
[15:29:50.662] [INFO   ] KP step 10computer-1
[15:29:50.662] [INFO   ] AI key pressed step 1 
[15:29:50.663] [INFO   ] AI key pressed step 2 
[15:29:50.662] [INFO   ] AI key pressed step 3, random slot: 7
[15:29:50.663] [INFO   ] KP step 1computer-0
[15:29:50.663] [INFO   ] creat AI step 8 
[15:29:50.664] [INFO   ] KP step 10computer-0
[15:29:50.664] [INFO   ] creat AI step 9 
[15:29:50.664] [INFO   ] AI key pressed step 3, random slot: 3
[15:29:50.665] [INFO   ] thread Thread-1wip1
[15:29:50.665] [INFO   ] creat AI step 8 
[15:29:50.665] [INFO   ] thread Thread-1wip2
[15:29:50.665] [INFO   ] thread Thread-1wip3
[15:29:50.665] [INFO   ] creat AI step 9 
[15:29:50.666] [INFO   ] thread Thread-1wip4
[15:29:50.666] [INFO   ] thread Thread-0wip1
[15:29:50.666] [INFO   ] creat AI step 10 
[15:29:50.667] [INFO   ] creat AI step 11 
[15:29:50.667] [INFO   ] creat AI step 3 
[15:29:50.667] [INFO   ] creat AI step 7 
[15:29:50.667] [INFO   ] AI key pressed step 1 
[15:29:50.667] [INFO   ] AI key pressed step 2 
[15:29:50.668] [INFO   ] KP step 1computer-1
[15:29:50.668] [INFO   ] KP step 10computer-1
[15:29:50.668] [INFO   ] AI key pressed step 3, random slot: 6
[15:29:50.669] [INFO   ] creat AI step 8 
[15:29:50.669] [INFO   ] creat AI step 9 
[15:29:50.669] [INFO   ] thread Thread-0wip2
[15:29:50.669] [INFO   ] thread Thread-1wip5
[15:29:50.669] [INFO   ] thread Thread-0wip3
[15:29:50.669] [INFO   ] thread Thread-1 after  synchronize on dealer.
[15:29:50.669] [INFO   ] thread Thread-0wip4
