[13:28:59.681] [INFO   ] thread main starting.
[13:28:59.716] [SEVERE ] cannot read configuration file config.properties trying from resources.
[13:28:59.725] [SEVERE ] configuration file was loaded from resources directory.
[13:29:03.390] [INFO   ] thread dealer starting.
[13:29:03.405] [INFO   ] thread dealer starting.
[13:29:03.453] [INFO   ] thread Thread-0 starting.
[13:29:03.523] [INFO   ] creat AI step 1 
[13:29:03.524] [INFO   ] thread computer-0 starting.
[13:29:03.525] [INFO   ] creat AI step 2 
[13:29:03.526] [INFO   ] creat AI step 3 
[13:29:03.526] [INFO   ] thread Thread-0wip1
[13:29:03.539] [INFO   ] thread Thread-0wip2
[13:29:03.534] [INFO   ] creat AI step 7 
[13:29:03.540] [INFO   ] thread Thread-0wip3
[13:29:03.543] [INFO   ] thread Thread-0wip4
[13:29:03.545] [INFO   ] KP step 1computer-0
[13:29:03.548] [INFO   ] KP step 7computer-0
[13:29:03.549] [INFO   ] creat AI step 8 
[13:29:03.550] [INFO   ] creat AI step 9 
[13:29:03.551] [INFO   ] thread Thread-0wip5
[13:29:03.552] [INFO   ] KP step 8Thread-0
[13:29:03.552] [INFO   ] KP step 9Thread-0
[13:29:03.553] [INFO   ] KP step 10Thread-0
[13:29:03.554] [INFO   ] KP step 11Thread-0
[13:29:03.555] [INFO   ] thread Thread-1 starting.
[13:29:03.555] [INFO   ] creat AI step 10 
[13:29:03.556] [INFO   ] creat AI step 11 
[13:29:03.556] [INFO   ] creat AI step 1 
[13:29:03.557] [INFO   ] thread computer-1 starting.
[13:29:03.557] [INFO   ] creat AI step 2 
[13:29:03.558] [INFO   ] creat AI step 3 
[13:29:03.558] [INFO   ] creat AI step 7 
[13:29:03.559] [INFO   ] KP step 1computer-1
[13:29:03.559] [INFO   ] KP step 7computer-1
[13:29:03.559] [INFO   ] creat AI step 8 
[13:29:03.560] [INFO   ] creat AI step 9 
[13:29:03.556] [INFO   ] creat AI step 3 
[13:29:03.563] [INFO   ] creat AI step 7 
[13:29:03.560] [INFO   ] thread Thread-1wip1
[13:29:03.558] [SEVERE ] updating countdown to 60000
[13:29:03.565] [INFO   ] thread Thread-1wip2
[13:29:03.566] [INFO   ] thread Thread-1wip3
[13:29:03.564] [INFO   ] KP step 1computer-0
[13:29:03.567] [INFO   ] KP step 7computer-0
[13:29:03.570] [INFO   ] creat AI step 8 
[13:29:03.570] [INFO   ] creat AI step 9 
[13:29:03.571] [INFO   ] KP step 12Thread-0
[13:29:03.572] [INFO   ] KP step 11Thread-0
[13:29:03.567] [INFO   ] thread Thread-1wip4
[13:29:03.576] [INFO   ] creat AI step 10 
[13:29:03.576] [INFO   ] creat AI step 11 
[13:29:03.577] [INFO   ] creat AI step 3 
[13:29:03.577] [INFO   ] creat AI step 7 
[13:29:03.578] [INFO   ] KP step 1computer-1
[13:29:03.578] [INFO   ] KP step 7computer-1
[13:29:03.579] [INFO   ] creat AI step 8 
[13:29:03.579] [INFO   ] creat AI step 9 
[13:29:03.577] [INFO   ] creat AI step 10 
[13:29:03.585] [INFO   ] creat AI step 11 
[13:29:03.585] [INFO   ] creat AI step 3 
[13:29:03.585] [INFO   ] creat AI step 7 
[13:29:03.586] [INFO   ] KP step 1computer-0
[13:29:03.586] [INFO   ] KP step 7computer-0
[13:29:03.587] [INFO   ] creat AI step 8 
[13:29:03.587] [INFO   ] creat AI step 9 
[13:29:03.588] [INFO   ] KP step 12Thread-0
[13:29:03.588] [INFO   ] KP step 11Thread-0
[13:29:03.589] [INFO   ] thread Thread-1wip5
[13:29:03.590] [INFO   ] KP step 8Thread-1
[13:29:03.591] [INFO   ] KP step 9Thread-1
[13:29:03.591] [INFO   ] KP step 10Thread-1
[13:29:03.592] [INFO   ] KP step 11Thread-1
[13:29:03.592] [INFO   ] creat AI step 10 
[13:29:03.592] [INFO   ] creat AI step 10 
[13:29:03.593] [INFO   ] creat AI step 11 
[13:29:03.593] [INFO   ] creat AI step 11 
[13:29:03.594] [INFO   ] creat AI step 3 
[13:29:03.595] [INFO   ] creat AI step 3 
[13:29:03.596] [INFO   ] creat AI step 7 
[13:29:03.596] [INFO   ] KP step 1computer-1
[13:29:03.597] [INFO   ] KP step 7computer-1
[13:29:03.597] [INFO   ] creat AI step 8 
[13:29:03.598] [INFO   ] creat AI step 9 
[13:29:03.595] [INFO   ] creat AI step 7 
[13:29:03.600] [INFO   ] KP step 1computer-0
[13:29:03.601] [INFO   ] KP step 7computer-0
[13:29:03.602] [INFO   ] creat AI step 8 
[13:29:03.600] [INFO   ] KP step 12Thread-1
[13:29:03.603] [INFO   ] KP step 11Thread-1
[13:29:03.602] [INFO   ] creat AI step 9 
[13:29:03.604] [INFO   ] creat AI step 10 
[13:29:03.604] [INFO   ] KP step 12Thread-0
[13:29:03.605] [INFO   ] creat AI step 11 
[13:29:03.605] [INFO   ] KP step 11Thread-0
[13:29:03.606] [INFO   ] creat AI step 3 
[13:29:03.607] [INFO   ] creat AI step 10 
[13:29:03.607] [INFO   ] creat AI step 7 
[13:29:03.608] [INFO   ] KP step 1computer-1
[13:29:03.608] [INFO   ] creat AI step 11 
[13:29:03.609] [INFO   ] KP step 7computer-1
[13:29:03.611] [INFO   ] creat AI step 8 
[13:29:03.610] [INFO   ] creat AI step 3 
[13:29:03.611] [INFO   ] creat AI step 9 
[13:29:03.612] [INFO   ] creat AI step 7 
[13:29:03.613] [INFO   ] KP step 1computer-0
[13:29:03.614] [INFO   ] KP step 7computer-0
[13:29:03.614] [INFO   ] creat AI step 8 
[13:29:03.613] [INFO   ] KP step 12Thread-1
[13:29:03.615] [INFO   ] creat AI step 9 
[13:29:03.615] [INFO   ] KP step 11Thread-1
[13:29:03.616] [INFO   ] KP step 12Thread-0
[13:29:03.616] [INFO   ] creat AI step 10 
[13:29:03.617] [INFO   ] KP step 11Thread-0
[13:29:03.617] [INFO   ] creat AI step 11 
[13:29:03.618] [INFO   ] creat AI step 3 
[13:29:03.619] [INFO   ] creat AI step 7 
[13:29:03.619] [INFO   ] KP step 1computer-1
[13:29:03.620] [INFO   ] KP step 7computer-1
[13:29:03.620] [INFO   ] creat AI step 8 
[13:29:03.621] [INFO   ] creat AI step 9 
[13:29:03.632] [INFO   ] creat AI step 10 
[13:29:03.632] [INFO   ] creat AI step 11 
[13:29:03.633] [INFO   ] creat AI step 3 
[13:29:03.632] [INFO   ] KP step 12Thread-1
[13:29:03.634] [INFO   ] KP step 11Thread-1
[13:29:03.634] [INFO   ] creat AI step 10 
[13:29:03.635] [INFO   ] creat AI step 11 
[13:29:03.636] [INFO   ] creat AI step 3 
[13:29:03.637] [INFO   ] creat AI step 7 
[13:29:03.637] [INFO   ] KP step 1computer-1
[13:29:03.638] [INFO   ] KP step 7computer-1
[13:29:03.638] [INFO   ] creat AI step 8 
[13:29:03.639] [INFO   ] creat AI step 9 
[13:29:03.634] [INFO   ] creat AI step 7 
[13:29:03.640] [INFO   ] KP step 1computer-0
[13:29:03.641] [INFO   ] KP step 7computer-0
[13:29:03.641] [INFO   ] creat AI step 8 
[13:29:03.641] [INFO   ] creat AI step 9 
[13:29:03.643] [INFO   ] KP step 12Thread-0
[13:29:03.640] [INFO   ] KP step 12Thread-1
[13:29:03.643] [INFO   ] KP step 11Thread-0
[13:29:03.644] [INFO   ] KP step 11Thread-1
[13:29:03.645] [INFO   ] creat AI step 10 
[13:29:03.645] [INFO   ] creat AI step 10 
[13:29:03.646] [INFO   ] creat AI step 11 
[13:29:03.646] [INFO   ] creat AI step 11 
[13:29:03.647] [INFO   ] creat AI step 3 
[13:29:03.647] [INFO   ] creat AI step 3 
[13:29:03.648] [INFO   ] creat AI step 7 
[13:29:03.650] [INFO   ] KP step 1computer-1
[13:29:03.650] [INFO   ] KP step 7computer-1
[13:29:03.650] [INFO   ] creat AI step 8 
[13:29:03.651] [INFO   ] creat AI step 9 
[13:29:03.648] [INFO   ] creat AI step 7 
[13:29:03.653] [INFO   ] KP step 12Thread-1
[13:29:03.654] [INFO   ] KP step 11Thread-1
[13:29:03.654] [INFO   ] KP step 1computer-0
[13:29:03.655] [INFO   ] KP step 7computer-0
[13:29:03.654] [INFO   ] creat AI step 10 
[13:29:03.655] [INFO   ] creat AI step 8 
[13:29:03.655] [INFO   ] creat AI step 11 
[13:29:03.656] [INFO   ] creat AI step 9 
[13:29:03.657] [INFO   ] creat AI step 3 
[13:29:03.657] [INFO   ] KP step 12Thread-0
[13:29:03.658] [INFO   ] creat AI step 7 
[13:29:03.658] [INFO   ] KP step 11Thread-0
[13:29:03.658] [INFO   ] KP step 1computer-1
[13:29:03.659] [INFO   ] KP step 7computer-1
[13:29:03.660] [INFO   ] creat AI step 8 
[13:29:03.659] [INFO   ] creat AI step 10 
[13:29:03.660] [INFO   ] creat AI step 9 
[13:29:03.662] [INFO   ] creat AI step 11 
[13:29:03.664] [INFO   ] KP step 12Thread-1
[13:29:03.665] [INFO   ] creat AI step 3 
[13:29:03.666] [INFO   ] creat AI step 7 
[13:29:03.667] [INFO   ] KP step 1computer-0
[13:29:03.667] [INFO   ] KP step 7computer-0
[13:29:03.667] [INFO   ] creat AI step 8 
[13:29:03.668] [INFO   ] creat AI step 9 
[13:29:03.669] [INFO   ] KP step 12Thread-0
[13:29:03.665] [INFO   ] KP step 11Thread-1
[13:29:03.669] [INFO   ] KP step 11Thread-0
[13:29:03.671] [INFO   ] creat AI step 10 
[13:29:03.672] [INFO   ] creat AI step 10 
[13:29:03.673] [INFO   ] creat AI step 11 
[13:29:03.674] [INFO   ] creat AI step 11 
[13:29:03.674] [INFO   ] creat AI step 3 
