[17:37:37.630] [INFO   ] thread main starting.
[17:37:37.638] [SEVERE ] cannot read configuration file config.properties trying from resources.
[17:37:37.641] [SEVERE ] configuration file was loaded from resources directory.
[17:37:38.142] [INFO   ] thread dealer starting.
[17:37:38.142] [INFO   ] thread dealer starting.
[17:37:38.142] [INFO   ] thread Thread-0 starting.
[17:37:38.142] [INFO   ] thread Thread-1 starting.
[17:37:38.142] [SEVERE ] updating countdown to 20000
[17:37:38.254] [SEVERE ] placing card 65 in slot 0
[17:37:38.363] [SEVERE ] placing card 20 in slot 1
[17:37:38.472] [SEVERE ] placing card 13 in slot 2
[17:37:38.582] [SEVERE ] placing card 46 in slot 3
[17:37:38.691] [SEVERE ] placing card 15 in slot 4
[17:37:38.796] [SEVERE ] placing card 73 in slot 5
[17:37:38.908] [SEVERE ] placing card 80 in slot 6
[17:37:39.014] [SEVERE ] placing card 11 in slot 7
[17:37:39.124] [SEVERE ] placing card 55 in slot 8
[17:37:39.234] [SEVERE ] placing card 71 in slot 9
[17:37:39.344] [SEVERE ] placing card 76 in slot 10
[17:37:39.454] [SEVERE ] placing card 35 in slot 11
[17:37:39.454] [SEVERE ] updating countdown to 20000
[17:37:39.563] [SEVERE ] updating countdown to 19941
[17:37:39.565] [SEVERE ] updating countdown to 19939
[17:37:39.671] [SEVERE ] updating countdown to 19833
[17:37:39.671] [SEVERE ] updating countdown to 19833
[17:37:39.777] [SEVERE ] updating countdown to 19727
[17:37:39.777] [SEVERE ] updating countdown to 19727
[17:37:39.887] [SEVERE ] updating countdown to 19617
[17:37:39.887] [SEVERE ] updating countdown to 19617
[17:37:39.998] [SEVERE ] updating countdown to 19506
[17:37:39.998] [SEVERE ] updating countdown to 19506
[17:37:40.108] [SEVERE ] updating countdown to 19396
[17:37:40.108] [SEVERE ] updating countdown to 19396
[17:37:40.218] [SEVERE ] updating countdown to 19286
[17:37:40.218] [SEVERE ] updating countdown to 19286
[17:37:40.328] [SEVERE ] updating countdown to 19176
[17:37:40.328] [SEVERE ] updating countdown to 19176
[17:37:40.438] [SEVERE ] updating countdown to 19066
[17:37:40.438] [SEVERE ] updating countdown to 19066
[17:37:40.547] [SEVERE ] updating countdown to 18957
[17:37:40.547] [SEVERE ] updating countdown to 18957
[17:37:40.657] [SEVERE ] updating countdown to 18847
[17:37:40.657] [SEVERE ] updating countdown to 18847
[17:37:40.767] [SEVERE ] updating countdown to 18737
[17:37:40.767] [SEVERE ] updating countdown to 18737
[17:37:40.876] [SEVERE ] updating countdown to 18628
[17:37:40.876] [SEVERE ] updating countdown to 18628
[17:37:40.986] [SEVERE ] updating countdown to 18518
[17:37:40.986] [SEVERE ] updating countdown to 18518
[17:37:41.095] [SEVERE ] updating countdown to 18409
[17:37:41.095] [SEVERE ] updating countdown to 18409
[17:37:41.205] [SEVERE ] updating countdown to 18299
[17:37:41.205] [SEVERE ] updating countdown to 18299
[17:37:41.315] [SEVERE ] updating countdown to 18189
[17:37:41.315] [SEVERE ] updating countdown to 18189
[17:37:41.425] [SEVERE ] updating countdown to 18079
[17:37:41.425] [SEVERE ] updating countdown to 18079
[17:37:41.525] [SEVERE ] updating countdown to 17979
[17:37:41.525] [SEVERE ] updating countdown to 17979
[17:37:41.635] [SEVERE ] updating countdown to 17869
[17:37:41.635] [SEVERE ] updating countdown to 17869
[17:37:41.744] [SEVERE ] updating countdown to 17760
[17:37:41.744] [SEVERE ] updating countdown to 17760
[17:37:41.853] [SEVERE ] updating countdown to 17651
[17:37:41.853] [SEVERE ] updating countdown to 17651
[17:37:41.964] [SEVERE ] updating countdown to 17540
[17:37:41.964] [SEVERE ] updating countdown to 17540
[17:37:42.074] [SEVERE ] updating countdown to 17430
[17:37:42.074] [SEVERE ] updating countdown to 17430
[17:37:42.183] [SEVERE ] updating countdown to 17321
[17:37:42.183] [SEVERE ] updating countdown to 17321
[17:37:42.293] [SEVERE ] updating countdown to 17211
[17:37:42.293] [SEVERE ] updating countdown to 17211
[17:37:42.404] [SEVERE ] updating countdown to 17100
[17:37:42.404] [SEVERE ] updating countdown to 17100
[17:37:42.513] [SEVERE ] updating countdown to 16991
[17:37:42.513] [SEVERE ] updating countdown to 16991
[17:37:42.623] [SEVERE ] updating countdown to 16881
[17:37:42.623] [SEVERE ] updating countdown to 16881
[17:37:42.732] [SEVERE ] updating countdown to 16772
[17:37:42.732] [SEVERE ] updating countdown to 16772
[17:37:42.842] [SEVERE ] updating countdown to 16662
[17:37:42.842] [SEVERE ] updating countdown to 16662
[17:37:42.951] [SEVERE ] updating countdown to 16553
[17:37:42.951] [SEVERE ] updating countdown to 16553
[17:37:43.061] [SEVERE ] updating countdown to 16443
[17:37:43.061] [SEVERE ] updating countdown to 16443
[17:37:43.171] [SEVERE ] updating countdown to 16333
[17:37:43.171] [SEVERE ] updating countdown to 16333
[17:37:43.280] [SEVERE ] updating countdown to 16224
[17:37:43.280] [SEVERE ] updating countdown to 16224
[17:37:43.389] [SEVERE ] updating countdown to 16115
[17:37:43.389] [SEVERE ] updating countdown to 16115
[17:37:43.499] [SEVERE ] updating countdown to 16005
[17:37:43.499] [SEVERE ] updating countdown to 16005
[17:37:43.608] [SEVERE ] updating countdown to 15896
[17:37:43.608] [SEVERE ] updating countdown to 15896
[17:37:43.717] [SEVERE ] updating countdown to 15787
[17:37:43.717] [SEVERE ] updating countdown to 15787
[17:37:43.828] [SEVERE ] updating countdown to 15676
[17:37:43.828] [SEVERE ] updating countdown to 15676
[17:37:43.937] [SEVERE ] updating countdown to 15567
[17:37:43.937] [SEVERE ] updating countdown to 15567
[17:37:44.045] [SEVERE ] updating countdown to 15459
[17:37:44.045] [SEVERE ] updating countdown to 15459
[17:37:44.155] [SEVERE ] updating countdown to 15349
[17:37:44.155] [SEVERE ] updating countdown to 15349
[17:37:44.265] [SEVERE ] updating countdown to 15239
[17:37:44.265] [SEVERE ] updating countdown to 15239
[17:37:44.374] [SEVERE ] updating countdown to 15130
[17:37:44.374] [SEVERE ] updating countdown to 15130
[17:37:44.485] [SEVERE ] updating countdown to 15019
[17:37:44.485] [SEVERE ] updating countdown to 15019
[17:37:44.594] [SEVERE ] updating countdown to 14910
[17:37:44.594] [SEVERE ] updating countdown to 14910
[17:37:44.704] [SEVERE ] updating countdown to 14800
[17:37:44.704] [SEVERE ] updating countdown to 14800
[17:37:44.816] [SEVERE ] updating countdown to 14688
[17:37:44.816] [SEVERE ] updating countdown to 14688
[17:37:44.926] [SEVERE ] updating countdown to 14578
[17:37:44.926] [SEVERE ] updating countdown to 14578
[17:37:45.035] [SEVERE ] updating countdown to 14469
[17:37:45.035] [SEVERE ] updating countdown to 14469
[17:37:45.144] [SEVERE ] updating countdown to 14360
[17:37:45.144] [SEVERE ] updating countdown to 14360
[17:37:45.254] [SEVERE ] updating countdown to 14250
[17:37:45.254] [SEVERE ] updating countdown to 14250
[17:37:45.364] [SEVERE ] updating countdown to 14140
[17:37:45.364] [SEVERE ] updating countdown to 14140
[17:37:45.474] [SEVERE ] updating countdown to 14030
[17:37:45.474] [SEVERE ] updating countdown to 14030
[17:37:45.583] [SEVERE ] updating countdown to 13921
[17:37:45.583] [SEVERE ] updating countdown to 13921
[17:37:45.693] [SEVERE ] updating countdown to 13811
[17:37:45.693] [SEVERE ] updating countdown to 13811
[17:37:45.803] [SEVERE ] updating countdown to 13701
[17:37:45.803] [SEVERE ] updating countdown to 13701
[17:37:45.912] [SEVERE ] updating countdown to 13592
[17:37:45.912] [SEVERE ] updating countdown to 13592
[17:37:46.021] [SEVERE ] updating countdown to 13483
[17:37:46.021] [SEVERE ] updating countdown to 13483
[17:37:46.130] [SEVERE ] updating countdown to 13374
[17:37:46.131] [SEVERE ] updating countdown to 13373
[17:37:46.239] [SEVERE ] updating countdown to 13265
[17:37:46.239] [SEVERE ] updating countdown to 13265
[17:37:46.349] [SEVERE ] updating countdown to 13155
[17:37:46.349] [SEVERE ] updating countdown to 13155
[17:37:46.458] [SEVERE ] updating countdown to 13046
