[14:49:30.929] [INFO   ] thread main starting.
[14:49:30.938] [SEVERE ] cannot read configuration file config.properties trying from resources.
[14:49:30.940] [SEVERE ] configuration file was loaded from resources directory.
[14:49:31.478] [INFO   ] thread dealer starting.
[14:49:31.480] [INFO   ] thread dealer starting.
[14:49:31.481] [INFO   ] thread Thread-0 starting.
[14:49:31.481] [INFO   ] thread Thread-1 starting.
[14:49:31.482] [SEVERE ] updating countdown to 20000
[14:49:31.590] [SEVERE ] placing card 46 in slot 0
[14:49:31.700] [SEVERE ] placing card 80 in slot 1
[14:49:31.808] [SEVERE ] placing card 49 in slot 2
[14:49:31.919] [SEVERE ] placing card 64 in slot 3
[14:49:32.029] [SEVERE ] placing card 24 in slot 4
[14:49:32.137] [SEVERE ] placing card 43 in slot 5
[14:49:32.247] [SEVERE ] placing card 51 in slot 6
[14:49:32.356] [SEVERE ] placing card 40 in slot 7
[14:49:32.465] [SEVERE ] placing card 28 in slot 8
[14:49:32.573] [SEVERE ] placing card 63 in slot 9
[14:49:32.683] [SEVERE ] placing card 8 in slot 10
[14:49:32.793] [SEVERE ] placing card 75 in slot 11
[14:49:32.793] [SEVERE ] updating countdown to 20000
[14:49:32.901] [SEVERE ] updating countdown to 19942
[14:49:32.902] [SEVERE ] updating countdown to 19941
[14:49:33.011] [SEVERE ] updating countdown to 19832
[14:49:33.012] [SEVERE ] updating countdown to 19831
[14:49:33.121] [SEVERE ] updating countdown to 19722
[14:49:33.122] [SEVERE ] updating countdown to 19721
[14:49:33.230] [SEVERE ] updating countdown to 19613
[14:49:33.230] [SEVERE ] updating countdown to 19613
[14:49:33.338] [SEVERE ] updating countdown to 19505
[14:49:33.339] [SEVERE ] updating countdown to 19504
[14:49:33.450] [SEVERE ] updating countdown to 19393
[14:49:33.450] [SEVERE ] updating countdown to 19393
[14:49:33.560] [SEVERE ] updating countdown to 19283
[14:49:33.560] [SEVERE ] updating countdown to 19283
[14:49:33.669] [SEVERE ] updating countdown to 19174
[14:49:33.669] [SEVERE ] updating countdown to 19174
[14:49:33.779] [SEVERE ] updating countdown to 19064
[14:49:33.780] [SEVERE ] updating countdown to 19063
[14:49:33.889] [SEVERE ] updating countdown to 18954
[14:49:33.889] [SEVERE ] updating countdown to 18954
[14:49:33.997] [SEVERE ] updating countdown to 18846
[14:49:33.997] [SEVERE ] updating countdown to 18846
[14:49:34.110] [SEVERE ] updating countdown to 18733
[14:49:34.111] [SEVERE ] updating countdown to 18732
[14:49:34.218] [SEVERE ] updating countdown to 18625
[14:49:34.219] [SEVERE ] updating countdown to 18624
[14:49:34.329] [SEVERE ] updating countdown to 18514
[14:49:34.329] [SEVERE ] updating countdown to 18514
[14:49:34.440] [SEVERE ] updating countdown to 18403
[14:49:34.440] [SEVERE ] updating countdown to 18403
[14:49:34.548] [SEVERE ] updating countdown to 18295
[14:49:34.548] [SEVERE ] updating countdown to 18295
[14:49:34.658] [SEVERE ] updating countdown to 18185
[14:49:34.658] [SEVERE ] updating countdown to 18185
[14:49:34.769] [SEVERE ] updating countdown to 18074
[14:49:34.769] [SEVERE ] updating countdown to 18074
[14:49:34.879] [SEVERE ] updating countdown to 17964
[14:49:34.880] [SEVERE ] updating countdown to 17963
[14:49:34.988] [SEVERE ] updating countdown to 17855
[14:49:34.988] [SEVERE ] updating countdown to 17855
[14:49:35.096] [SEVERE ] updating countdown to 17747
[14:49:35.096] [SEVERE ] updating countdown to 17747
[14:49:35.205] [SEVERE ] updating countdown to 17638
[14:49:35.205] [SEVERE ] updating countdown to 17638
[14:49:35.315] [SEVERE ] updating countdown to 17528
[14:49:35.315] [SEVERE ] updating countdown to 17528
[14:49:35.425] [SEVERE ] updating countdown to 17418
[14:49:35.425] [SEVERE ] updating countdown to 17418
[14:49:35.537] [SEVERE ] updating countdown to 17306
[14:49:35.537] [SEVERE ] updating countdown to 17306
[14:49:35.647] [SEVERE ] updating countdown to 17196
[14:49:35.647] [SEVERE ] updating countdown to 17196
[14:49:35.755] [SEVERE ] updating countdown to 17088
[14:49:35.755] [SEVERE ] updating countdown to 17088
[14:49:35.863] [SEVERE ] updating countdown to 16980
[14:49:35.863] [SEVERE ] updating countdown to 16980
[14:49:35.974] [SEVERE ] updating countdown to 16869
[14:49:35.974] [SEVERE ] updating countdown to 16869
[14:49:36.086] [SEVERE ] updating countdown to 16757
[14:49:36.086] [SEVERE ] updating countdown to 16757
