[13:36:22.595] [INFO   ] thread main starting.
[13:36:22.634] [SEVERE ] cannot read configuration file config.properties trying from resources.
[13:36:22.642] [SEVERE ] configuration file was loaded from resources directory.
[13:36:26.320] [INFO   ] thread dealer starting.
[13:36:26.324] [INFO   ] thread dealer starting.
[13:36:26.326] [INFO   ] thread Thread-0 starting.
[13:36:26.338] [INFO   ] creat AI step 1 
[13:36:26.339] [INFO   ] thread computer-0 starting.
[13:36:26.341] [INFO   ] creat AI step 2 
[13:36:26.342] [INFO   ] creat AI step 3 
[13:36:26.342] [INFO   ] thread Thread-0wip1
[13:36:26.343] [INFO   ] creat AI step 7 
[13:36:26.343] [INFO   ] thread Thread-1 starting.
[13:36:26.348] [INFO   ] KP step 1computer-0
[13:36:26.349] [INFO   ] KP step 7computer-0
[13:36:26.345] [INFO   ] thread Thread-0wip2
[13:36:26.348] [INFO   ] creat AI step 1 
[13:36:26.351] [INFO   ] thread Thread-0wip3
[13:36:26.352] [INFO   ] thread computer-1 starting.
[13:36:26.353] [INFO   ] thread Thread-0wip4
[13:36:26.354] [INFO   ] creat AI step 2 
[13:36:26.354] [INFO   ] creat AI step 8 
[13:36:26.355] [INFO   ] creat AI step 3 
[13:36:26.355] [SEVERE ] updating countdown to 60000
[13:36:26.355] [INFO   ] thread Thread-1wip1
[13:36:26.356] [INFO   ] creat AI step 7 
[13:36:26.359] [INFO   ] KP step 1computer-1
[13:36:26.356] [INFO   ] creat AI step 9 
[13:36:26.360] [INFO   ] KP step 7computer-1
[13:36:26.358] [INFO   ] thread Thread-1wip2
[13:36:26.361] [INFO   ] thread Thread-0wip5
[13:36:26.363] [INFO   ] thread Thread-1wip3
[13:36:26.364] [INFO   ] KP step 8Thread-0
[13:36:26.364] [INFO   ] thread Thread-1wip4
[13:36:26.365] [INFO   ] KP step 9Thread-0
[13:36:26.365] [INFO   ] creat AI step 8 
[13:36:26.369] [INFO   ] KP step 10Thread-0
[13:36:26.370] [INFO   ] creat AI step 9 
[13:36:26.371] [INFO   ] KP step 11Thread-0
[13:36:26.371] [INFO   ] thread Thread-1wip5
[13:36:26.372] [INFO   ] creat AI step 10 
[13:36:26.373] [INFO   ] KP step 8Thread-1
[13:36:26.374] [INFO   ] creat AI step 11 
[13:36:26.375] [INFO   ] KP step 9Thread-1
[13:36:26.377] [INFO   ] KP step 10Thread-1
[13:36:26.377] [INFO   ] KP step 11Thread-1
[13:36:26.379] [INFO   ] creat AI step 10 
[13:36:26.380] [INFO   ] creat AI step 11 
[13:36:26.382] [INFO   ] creat AI step 3 
[13:36:26.383] [INFO   ] creat AI step 7 
[13:36:26.384] [INFO   ] KP step 1computer-1
[13:36:26.385] [INFO   ] KP step 7computer-1
[13:36:26.386] [INFO   ] creat AI step 8 
[13:36:26.387] [INFO   ] creat AI step 9 
[13:36:26.387] [INFO   ] KP step 12Thread-1
[13:36:26.388] [INFO   ] KP step 11Thread-1
[13:36:26.389] [INFO   ] creat AI step 10 
[13:36:26.389] [INFO   ] creat AI step 11 
[13:36:26.390] [INFO   ] creat AI step 3 
[13:36:26.376] [INFO   ] creat AI step 3 
[13:36:26.392] [INFO   ] creat AI step 7 
[13:36:26.392] [INFO   ] KP step 1computer-0
[13:36:26.390] [INFO   ] creat AI step 7 
[13:36:26.393] [INFO   ] KP step 7computer-0
[13:36:26.394] [INFO   ] KP step 1computer-1
[13:36:26.396] [INFO   ] creat AI step 8 
[13:36:26.397] [INFO   ] KP step 7computer-1
[13:36:26.398] [INFO   ] creat AI step 8 
[13:36:26.399] [INFO   ] creat AI step 9 
[13:36:26.399] [INFO   ] KP step 12Thread-1
[13:36:26.400] [INFO   ] KP step 11Thread-1
[13:36:26.398] [INFO   ] creat AI step 9 
[13:36:26.401] [INFO   ] creat AI step 10 
[13:36:26.405] [INFO   ] KP step 12Thread-0
[13:36:26.406] [INFO   ] creat AI step 11 
[13:36:26.408] [INFO   ] creat AI step 3 
[13:36:26.408] [INFO   ] creat AI step 7 
[13:36:26.408] [INFO   ] KP step 1computer-1
[13:36:26.409] [INFO   ] KP step 7computer-1
[13:36:26.409] [INFO   ] creat AI step 8 
