[13:39:22.152] [INFO   ] thread main starting.
[13:39:22.179] [SEVERE ] cannot read configuration file config.properties trying from resources.
[13:39:22.185] [SEVERE ] configuration file was loaded from resources directory.
[13:39:25.424] [INFO   ] thread dealer starting.
[13:39:25.428] [INFO   ] thread dealer starting.
[13:39:25.431] [INFO   ] thread Thread-0 starting.
[13:39:25.441] [INFO   ] creat AI step 1 
[13:39:25.442] [INFO   ] thread computer-0 starting.
[13:39:25.442] [INFO   ] creat AI step 2 
[13:39:25.443] [INFO   ] creat AI step 3 
[13:39:25.443] [INFO   ] thread Thread-0wip1
[13:39:25.444] [INFO   ] creat AI step 7 
[13:39:25.446] [INFO   ] thread Thread-0wip2
[13:39:25.448] [INFO   ] thread Thread-1 starting.
[13:39:25.448] [INFO   ] KP step 1computer-0
[13:39:25.448] [INFO   ] thread Thread-0wip3
[13:39:25.450] [INFO   ] creat AI step 1 
[13:39:25.450] [INFO   ] KP step 7computer-0
[13:39:25.451] [INFO   ] thread computer-1 starting.
[13:39:25.451] [INFO   ] thread Thread-0wip4
[13:39:25.452] [INFO   ] creat AI step 2 
[13:39:25.453] [INFO   ] creat AI step 8 
[13:39:25.455] [SEVERE ] updating countdown to 60000
[13:39:25.454] [INFO   ] thread Thread-1wip1
[13:39:25.454] [INFO   ] creat AI step 3 
[13:39:25.456] [INFO   ] thread Thread-1wip2
[13:39:25.455] [INFO   ] creat AI step 9 
[13:39:25.458] [INFO   ] thread Thread-1wip3
[13:39:25.458] [INFO   ] thread Thread-0wip5
[13:39:25.459] [INFO   ] thread Thread-1wip4
[13:39:25.459] [INFO   ] KP step 8Thread-0
[13:39:25.461] [INFO   ] creat AI step 7 
[13:39:25.462] [INFO   ] KP step 9Thread-0
[13:39:25.462] [INFO   ] KP step 1computer-1
[13:39:25.463] [INFO   ] KP step 10Thread-0
[13:39:25.464] [INFO   ] KP step 7computer-1
[13:39:25.464] [INFO   ] KP step 11Thread-0
[13:39:25.466] [INFO   ] creat AI step 8 
[13:39:25.468] [INFO   ] creat AI step 9 
[13:39:25.468] [INFO   ] creat AI step 10 
[13:39:25.468] [INFO   ] thread Thread-1wip5
[13:39:25.470] [INFO   ] KP step 8Thread-1
[13:39:25.471] [INFO   ] KP step 9Thread-1
[13:39:25.469] [INFO   ] creat AI step 11 
[13:39:25.471] [INFO   ] KP step 10Thread-1
[13:39:25.472] [INFO   ] creat AI step 3 
[13:39:25.473] [INFO   ] KP step 11Thread-1
[13:39:25.474] [INFO   ] creat AI step 10 
[13:39:25.473] [INFO   ] creat AI step 7 
[13:39:25.474] [INFO   ] creat AI step 11 
[13:39:25.476] [INFO   ] KP step 1computer-0
[13:39:25.477] [INFO   ] creat AI step 3 
[13:39:25.478] [INFO   ] creat AI step 7 
[13:39:25.478] [INFO   ] KP step 7computer-0
[13:39:25.479] [INFO   ] KP step 1computer-1
[13:39:25.479] [INFO   ] creat AI step 8 
[13:39:25.481] [INFO   ] KP step 7computer-1
[13:39:25.482] [INFO   ] creat AI step 8 
[13:39:25.482] [INFO   ] creat AI step 9 
[13:39:25.484] [INFO   ] creat AI step 9 
[13:39:25.484] [INFO   ] KP step 12Thread-0
[13:39:25.485] [INFO   ] KP step 12Thread-1
[13:39:25.487] [INFO   ] KP step 11Thread-1
[13:39:25.487] [INFO   ] creat AI step 10 
[13:39:25.488] [INFO   ] creat AI step 11 
[13:39:25.489] [INFO   ] creat AI step 3 
[13:39:25.490] [INFO   ] creat AI step 7 
[13:39:25.491] [INFO   ] KP step 1computer-1
[13:39:25.491] [INFO   ] KP step 7computer-1
[13:39:25.491] [INFO   ] creat AI step 8 
[13:39:25.492] [INFO   ] creat AI step 9 
[13:39:25.492] [INFO   ] KP step 12Thread-1
[13:39:25.486] [INFO   ] KP step 11Thread-0
[13:39:25.493] [INFO   ] KP step 11Thread-1
[13:39:25.495] [INFO   ] creat AI step 10 
[13:39:25.495] [INFO   ] creat AI step 10 
[13:39:25.496] [INFO   ] creat AI step 11 
[13:39:25.496] [INFO   ] creat AI step 11 
[13:39:25.498] [INFO   ] creat AI step 3 
[13:39:25.499] [INFO   ] creat AI step 7 
[13:39:25.499] [INFO   ] KP step 1computer-0
[13:39:25.500] [INFO   ] KP step 7computer-0
[13:39:25.500] [INFO   ] creat AI step 8 
[13:39:25.502] [INFO   ] creat AI step 9 
[13:39:25.503] [INFO   ] KP step 12Thread-0
[13:39:25.504] [INFO   ] KP step 11Thread-0
[13:39:25.504] [INFO   ] creat AI step 10 
[13:39:25.498] [INFO   ] creat AI step 3 
[13:39:25.504] [INFO   ] creat AI step 11 
[13:39:25.506] [INFO   ] creat AI step 3 
[13:39:25.505] [INFO   ] creat AI step 7 
[13:39:25.509] [INFO   ] KP step 1computer-1
[13:39:25.508] [INFO   ] creat AI step 7 
[13:39:25.514] [INFO   ] KP step 1computer-0
[13:39:25.514] [INFO   ] KP step 7computer-0
[13:39:25.515] [INFO   ] creat AI step 8 
[13:39:25.515] [INFO   ] creat AI step 9 
[13:39:25.513] [INFO   ] KP step 7computer-1
[13:39:25.517] [INFO   ] creat AI step 8 
[13:39:25.516] [INFO   ] KP step 12Thread-0
[13:39:25.518] [INFO   ] creat AI step 9 
[13:39:25.520] [INFO   ] KP step 12Thread-1
[13:39:25.522] [INFO   ] KP step 11Thread-1
[13:39:25.520] [INFO   ] KP step 11Thread-0
[13:39:25.522] [INFO   ] creat AI step 10 
[13:39:25.524] [INFO   ] creat AI step 11 
[13:39:25.524] [INFO   ] creat AI step 3 
[13:39:25.523] [INFO   ] creat AI step 10 
[13:39:25.525] [INFO   ] creat AI step 7 
[13:39:25.534] [INFO   ] KP step 1computer-1
