[15:09:53.786] [INFO   ] thread main starting.
[15:09:53.796] [SEVERE ] cannot read configuration file config.properties trying from resources.
[15:09:53.799] [SEVERE ] configuration file was loaded from resources directory.
[15:09:54.523] [INFO   ] thread dealer starting.
[15:09:54.525] [INFO   ] thread dealer starting.
[15:09:54.525] [INFO   ] thread Thread-0 starting.
[15:09:54.528] [INFO   ] thread Thread-1 starting.
[15:09:54.528] [SEVERE ] updating countdown to 20000
[15:09:54.646] [SEVERE ] placing card 53 in slot 0
[15:09:54.749] [SEVERE ] placing card 12 in slot 1
[15:09:54.851] [SEVERE ] placing card 54 in slot 2
[15:09:54.955] [SEVERE ] placing card 16 in slot 3
[15:09:55.066] [SEVERE ] placing card 30 in slot 4
[15:09:55.169] [SEVERE ] placing card 76 in slot 5
[15:09:55.280] [SEVERE ] placing card 78 in slot 6
[15:09:55.382] [SEVERE ] placing card 14 in slot 7
[15:09:55.484] [SEVERE ] placing card 73 in slot 8
[15:09:55.595] [SEVERE ] placing card 72 in slot 9
[15:09:55.698] [SEVERE ] placing card 59 in slot 10
[15:09:55.802] [SEVERE ] placing card 38 in slot 11
[15:09:55.802] [SEVERE ] updating countdown to 20000
[15:09:55.914] [SEVERE ] updating countdown to 19938
[15:09:55.914] [SEVERE ] updating countdown to 19938
[15:09:56.024] [SEVERE ] updating countdown to 19828
[15:09:56.024] [SEVERE ] updating countdown to 19828
[15:09:56.133] [SEVERE ] updating countdown to 19719
[15:09:56.133] [SEVERE ] updating countdown to 19719
[15:09:56.241] [SEVERE ] updating countdown to 19611
[15:09:56.242] [SEVERE ] updating countdown to 19610
[15:09:56.351] [SEVERE ] updating countdown to 19501
[15:09:56.351] [SEVERE ] updating countdown to 19501
[15:09:56.460] [SEVERE ] updating countdown to 19392
[15:09:56.460] [SEVERE ] updating countdown to 19392
[15:09:56.571] [SEVERE ] updating countdown to 19281
[15:09:56.571] [SEVERE ] updating countdown to 19281
[15:09:56.682] [SEVERE ] updating countdown to 19170
[15:09:56.682] [SEVERE ] updating countdown to 19170
[15:09:56.791] [SEVERE ] updating countdown to 19061
