[16:23:05.999] [INFO   ] thread main starting.
[16:23:06.010] [SEVERE ] cannot read configuration file config.properties trying from resources.
[16:23:06.012] [SEVERE ] configuration file was loaded from resources directory.
[16:23:06.728] [INFO   ] thread dealer starting.
[16:23:06.729] [INFO   ] thread dealer starting.
[16:23:06.730] [INFO   ] thread Thread-0 starting.
[16:23:06.731] [INFO   ] thread Thread-1 starting.
[16:23:06.731] [SEVERE ] updating countdown to 20000
[16:23:06.853] [SEVERE ] placing card 55 in slot 0
[16:23:06.961] [SEVERE ] placing card 65 in slot 1
[16:23:07.069] [SEVERE ] placing card 18 in slot 2
[16:23:07.178] [SEVERE ] placing card 28 in slot 3
[16:23:07.287] [SEVERE ] placing card 60 in slot 4
[16:23:07.395] [SEVERE ] placing card 33 in slot 5
[16:23:07.503] [SEVERE ] placing card 50 in slot 6
[16:23:07.615] [SEVERE ] placing card 22 in slot 7
[16:23:07.724] [SEVERE ] placing card 32 in slot 8
[16:23:07.833] [SEVERE ] placing card 57 in slot 9
[16:23:07.942] [SEVERE ] placing card 41 in slot 10
[16:23:08.052] [SEVERE ] placing card 42 in slot 11
[16:23:08.053] [SEVERE ] updating countdown to 20000
[16:23:08.160] [SEVERE ] updating countdown to 19943
[16:23:08.162] [SEVERE ] updating countdown to 19941
[16:23:08.270] [SEVERE ] updating countdown to 19833
[16:23:08.270] [SEVERE ] updating countdown to 19833
[16:23:08.379] [SEVERE ] updating countdown to 19724
[16:23:08.379] [SEVERE ] updating countdown to 19724
[16:23:08.488] [SEVERE ] updating countdown to 19615
[16:23:08.489] [SEVERE ] updating countdown to 19614
[16:23:08.597] [SEVERE ] updating countdown to 19506
[16:23:08.598] [SEVERE ] updating countdown to 19505
[16:23:08.706] [SEVERE ] updating countdown to 19397
[16:23:08.706] [SEVERE ] updating countdown to 19397
[16:23:08.817] [SEVERE ] updating countdown to 19286
[16:23:08.817] [SEVERE ] updating countdown to 19286
[16:23:08.927] [SEVERE ] updating countdown to 19176
[16:23:08.928] [SEVERE ] updating countdown to 19175
[16:23:09.036] [SEVERE ] updating countdown to 19067
[16:23:09.036] [SEVERE ] updating countdown to 19067
[16:23:09.145] [SEVERE ] updating countdown to 18958
[16:23:09.146] [SEVERE ] updating countdown to 18957
[16:23:09.256] [SEVERE ] updating countdown to 18847
[16:23:09.256] [SEVERE ] updating countdown to 18847
[16:23:09.367] [SEVERE ] updating countdown to 18736
[16:23:09.367] [SEVERE ] updating countdown to 18736
[16:23:09.477] [SEVERE ] updating countdown to 18626
[16:23:09.477] [SEVERE ] updating countdown to 18626
[16:23:09.587] [SEVERE ] updating countdown to 18516
[16:23:09.587] [SEVERE ] updating countdown to 18516
[16:23:09.696] [SEVERE ] updating countdown to 18407
[16:23:09.696] [SEVERE ] updating countdown to 18407
[16:23:09.807] [SEVERE ] updating countdown to 18296
[16:23:09.807] [SEVERE ] updating countdown to 18296
[16:23:09.917] [SEVERE ] updating countdown to 18186
[16:23:09.918] [SEVERE ] updating countdown to 18185
[16:23:10.028] [SEVERE ] updating countdown to 18075
[16:23:10.028] [SEVERE ] updating countdown to 18075
[16:23:10.137] [SEVERE ] updating countdown to 17966
[16:23:10.138] [SEVERE ] updating countdown to 17965
[16:23:10.246] [SEVERE ] updating countdown to 17857
[16:23:10.247] [SEVERE ] updating countdown to 17856
[16:23:10.354] [SEVERE ] updating countdown to 17749
[16:23:10.355] [SEVERE ] updating countdown to 17748
[16:23:10.464] [SEVERE ] updating countdown to 17639
[16:23:10.465] [SEVERE ] updating countdown to 17638
[16:23:10.574] [SEVERE ] updating countdown to 17529
[16:23:10.575] [SEVERE ] updating countdown to 17528
[16:23:10.683] [SEVERE ] updating countdown to 17420
[16:23:10.684] [SEVERE ] updating countdown to 17419
[16:23:10.792] [SEVERE ] updating countdown to 17311
[16:23:10.792] [SEVERE ] updating countdown to 17311
[16:23:10.901] [SEVERE ] updating countdown to 17202
[16:23:10.901] [SEVERE ] updating countdown to 17202
[16:23:11.011] [SEVERE ] updating countdown to 17092
