[12:31:41.666] [INFO   ] thread main starting.
[12:31:41.674] [SEVERE ] cannot read configuration file config.properties trying from resources.
[12:31:41.676] [SEVERE ] configuration file was loaded from resources directory.
[12:31:42.268] [INFO   ] thread dealer starting.
[12:31:42.269] [INFO   ] thread dealer starting.
[12:31:42.269] [INFO   ] thread Thread-0 starting.
[12:31:42.270] [INFO   ] creat AI step 1 
[12:31:42.271] [INFO   ] thread computer-0 starting.
[12:31:42.271] [INFO   ] creat AI step 2 
[12:31:42.271] [INFO   ] creat AI step 3 
[12:31:42.271] [INFO   ] thread Thread-0wip1
[12:31:42.272] [INFO   ] thread Thread-1 starting.
[12:31:42.272] [INFO   ] creat AI step 7 
[12:31:42.274] [INFO   ] thread Thread-0wip2
[12:31:42.275] [INFO   ] creat AI step 1 
[12:31:42.275] [INFO   ] AI key pressed step 1 
[12:31:42.276] [INFO   ] thread computer-1 starting.
[12:31:42.275] [INFO   ] thread Thread-0 after  synchronize on dealer.
[12:31:42.276] [INFO   ] creat AI step 2 
[12:31:42.276] [INFO   ] creat AI step 3 
[12:31:42.276] [INFO   ] creat AI step 7 
[12:31:42.276] [INFO   ] thread Thread-0 before notify synchronize on dealer.
[12:31:42.277] [INFO   ] thread Thread-0wip3
[12:31:42.277] [INFO   ] AI key pressed step 1 
[12:31:42.276] [SEVERE ] updating countdown to 60000
[12:31:42.276] [INFO   ] thread Thread-1wip1
[12:31:42.276] [INFO   ] AI key pressed step 2 
[12:31:42.277] [INFO   ] thread Thread-1wip2
[12:31:42.277] [INFO   ] AI key pressed step 2 
[12:31:42.277] [INFO   ] thread Thread-0wip4
[12:31:42.278] [INFO   ] KP step 1computer-1
[12:31:42.278] [INFO   ] thread Thread-1 after  synchronize on dealer.
[12:31:42.278] [INFO   ] KP step 1computer-0
[12:31:42.279] [INFO   ] thread Thread-1 before notify synchronize on dealer.
[12:31:42.279] [INFO   ] KP step 10computer-1
[12:31:42.280] [INFO   ] thread Thread-1wip3
[12:31:42.279] [INFO   ] KP step 10computer-0
[12:31:42.281] [INFO   ] AI key pressed step 3, random slot: 11
[12:31:42.280] [INFO   ] thread Thread-1wip4
[12:31:42.280] [INFO   ] AI key pressed step 3, random slot: 1
[12:31:42.281] [INFO   ] creat AI step 8 
[12:31:42.281] [INFO   ] creat AI step 9 
[12:31:42.281] [INFO   ] creat AI step 8 
[12:31:42.282] [INFO   ] creat AI step 9 
[12:31:42.282] [INFO   ] thread Thread-1wip5
[12:31:42.282] [INFO   ] thread Thread-1 after  synchronize on dealer.
[12:31:42.283] [INFO   ] thread Thread-1 before notify synchronize on dealer.
[12:31:42.283] [INFO   ] thread Thread-1wip3
[12:31:42.283] [INFO   ] thread Thread-1wip4
[12:31:42.282] [INFO   ] thread Thread-0wip5
[12:31:42.284] [INFO   ] thread Thread-0 after  synchronize on dealer.
[12:31:42.284] [INFO   ] thread Thread-0 before notify synchronize on dealer.
[12:31:42.286] [INFO   ] thread Thread-0wip3
[12:31:42.284] [INFO   ] creat AI step 10 
[12:31:42.286] [INFO   ] thread Thread-0wip4
[12:31:42.286] [INFO   ] creat AI step 11 
[12:31:42.287] [INFO   ] creat AI step 3 
[12:31:42.287] [INFO   ] creat AI step 7 
[12:31:42.287] [INFO   ] AI key pressed step 1 
[12:31:42.286] [INFO   ] creat AI step 10 
[12:31:42.287] [INFO   ] AI key pressed step 2 
[12:31:42.287] [INFO   ] KP step 1computer-1
[12:31:42.288] [INFO   ] KP step 10computer-1
[12:31:42.287] [INFO   ] creat AI step 11 
[12:31:42.288] [INFO   ] AI key pressed step 3, random slot: 10
[12:31:42.288] [INFO   ] creat AI step 8 
[12:31:42.288] [INFO   ] creat AI step 9 
[12:31:42.288] [INFO   ] creat AI step 3 
[12:31:42.288] [INFO   ] creat AI step 7 
[12:31:42.289] [INFO   ] AI key pressed step 1 
